trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
primary,0,0.5,7.8,p99dl,SKIP-G1200,21.62572201192389,0.3659792713196558,0.2863320613955353,0.4320059908271601,22.71973039557576,17.41793478365973,27.982687198282072
primary,0,0.5,7.8,p99dl,SPJF-reversed,42.722979891747435,-0.8623201550532208,-1.0382032421870688,-0.6398534742244859,-53.34139522861146,-62.955166419860255,-41.102863256128344
primary,0,0.5,7.8,p99dl,CAP-G600-reversed,43.39050572365532,-0.8984156139795061,-1.075481780734419,-0.6754948818762355,-55.57146746803751,-65.64482712338096,-43.019991295712984
primary,0,0.5,7.8,p99dl,SPJF-random,16.821821625381844,0.638543281570505,0.5879920952092681,0.703120875390111,39.58564992728272,35.117089435883905,46.19351741524183
primary,0,0.5,7.8,p99dl,CAP-G600-random,17.1230682587624,0.6221023267417557,0.5680556938093252,0.6894067090900581,38.56917919208694,33.99987111709122,45.373380005654745
primary,0,0.5,7.8,p99dl,SPJF-top1short,38.256118357479764,-0.5975227815431943,-0.7684600279630401,-0.3719274434831329,-36.954090306926496,-46.17820557588914,-24.182236315105786
primary,0,0.5,7.8,p99dl,CAP-G600-top1short,38.73741673603668,-0.6241704520918446,-0.8051094568635838,-0.39580553891734493,-38.60765334454701,-48.47885979924017,-25.632879093327617
primary,0,0.5,7.8,mean,FCFS,0.718913425317915,0.0,0.0,0.0,0.0,0.0,0.0
primary,0,0.5,7.8,mean,SJF-ref,0.22814776619702135,1.0,1.0,1.0,68.3830448516218,62.264742252059285,71.79885425262529
primary,0,0.5,7.8,mean,SPJF-M4,0.29508347505108284,0.8652440851543007,0.7958063100896474,0.8954616260882704,59.17743648591286,50.199447997390784,64.09330615347181
primary,0,0.5,7.8,mean,SPJF-M4refit,0.295380416446663,0.8647390427028718,0.79552344585258,0.8943889102307236,59.14323530476598,50.20227976082225,64.04011665870466
primary,0,0.5,7.8,mean,SPJF-tweedie,0.2922781765343986,0.8705374234981601,0.8049814673460008,0.8987765760843394,59.53830392649836,50.754803323760434,64.3857314640529
primary,0,0.5,7.8,mean,SPJF-tweedie_itr,0.2912634040102638,0.8722058790099861,0.8073913860541718,0.9007039543793053,59.65229690076423,50.86123611290431,64.49681181729396
primary,0,0.5,7.8,mean,SPJF-r1s,0.2901307666525197,0.8741050969336313,0.8161505513660057,0.9001731813823561,59.78110091227546,51.31993104132459,64.46954262961516
primary,0,0.5,7.8,mean,FIX-G300,0.3480765900903765,0.7583260106350334,0.7256798553143019,0.7815572662850039,51.864621205074954,46.14981692309274,54.899660659702725
primary,0,0.5,7.8,mean,FIXSEL-G300,0.3841048013907872,0.686007949667115,0.6607962758002449,0.718384928905065,46.92395984322804,42.74433164220726,49.13033854501427
primary,0,0.5,7.8,mean,CAP-G300,0.34550100942078527,0.7641513340786789,0.7304387172831683,0.7871892258377702,52.26842090680528,46.30937906488888,55.46037167109812
primary,0,0.5,7.8,mean,HYB-G300,0.34617272029311386,0.7626630431311618,0.7306953336754725,0.7867392039144893,52.164530064027375,46.35000718447552,55.21614387236673
primary,0,0.5,7.8,mean,SKIP-G300,0.6688248174964257,0.10338875958682389,0.08554905500126431,0.13635300204242995,7.070094501483976,6.067698178588733,8.537127981056408
primary,0,0.5,7.8,mean,FIX-G600,0.3092691519984564,0.8377636490104725,0.7865480807442514,0.8623482284475084,57.296849994460516,49.60613080273074,61.44711907353258
primary,0,0.5,7.8,mean,FIXSEL-G600,0.3248512195226972,0.8060460862415665,0.7647552370667188,0.8317551092724594,55.12732759376338,48.35616897677597,59.00548627687018
primary,0,0.5,7.8,mean,CAP-G600,0.3114308709779553,0.8324333187165325,0.7831924170087403,0.8561286522723298,56.93164884196432,49.55402905284176,60.9835778078247
primary,0,0.5,7.8,mean,HYB-G600,0.30928204823518807,0.8369775026070956,0.7838739120258171,0.8633878310397003,57.24265085371873,49.41246844348859,61.62954956857744
primary,0,0.5,7.8,mean,SKIP-G600,0.6237047025638589,0.19576878896777977,0.16446830836054788,0.2529451078560365,13.387779130193405,11.700237564264517,15.690033278813884
primary,0,0.5,7.8,mean,FIX-G1200,0.2932026881830628,0.8690331794631151,0.803562855186245,0.8975583032112883,59.43581311245647,50.61346842138749,64.27090315178322
primary,0,0.5,7.8,mean,FIXSEL-G1200,0.30368045209593253,0.8483616732367858,0.7923538088649694,0.8745989853419677,58.0194870478899,50.01703119431121,62.54449229179453
primary,0,0.5,7.8,mean,CAP-G1200,0.2932674926252751,0.8686794731485689,0.8039489591480785,0.8967907502228084,59.410530995903194,50.669643466598224,64.21945866926953
primary,0,0.5,7.8,mean,HYB-G1200,0.3044774173265091,0.8472295541359476,0.787944863260069,0.8731994210315227,57.94222885668288,49.60990104804441,62.46075706713317
primary,0,0.5,7.8,mean,SKIP-G1200,0.5707586126364182,0.3035190818136936,0.26054523064733176,0.3831525016888902,20.755314830068112,18.465903543188997,23.787229078432897
