policy,family,worst_gap,worst_harm,worst_promise,mean_gap,n_cells,max_used,lw_ex_p99,lw_ex_max,lw_ratio_max,B0_base,eta,gam_base
CAPG-G600-B240-e0.5,capped,0.6793503762515836,216.8147185742855,450.0,0.7474613547562508,15,0.8514014520744483,434.2553483523433,510.84087124466896,5.500261370981047,240.0,0.5,0.0
CAPG-G1200-B240-e0.75,capped,0.7251687395465015,358.92071129381657,900.0,0.8022806814912083,15,0.924237565000852,292.0942156931788,1109.0850780010223,9.869381433523213,240.0,0.75,0.0
CAPG-G300-B240-e0.75,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,240.0,0.75,0.0
CAPG-G600-B240-e0.75,capped,0.7231585064331519,358.92071129381657,600.0,0.7775512340707126,15,0.8567153809467951,450.269575779736,514.0292285680771,8.950638352499762,240.0,0.75,0.0
CAPG-G1200-B240-e0.9,capped,0.7272678266967635,823.1073162257671,1200.0,0.8049815959111989,15,0.9246374950557948,282.821601703763,1106.38999556005,18.969982752304528,240.0,0.9,0.0
CAPG-G300-B240-e0.9,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,240.0,0.9,0.0
CAPG-G600-B240-e0.9,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,240.0,0.9,0.0
CAPG-G1200-B240-e0.95,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,240.0,0.95,0.0
CAPG-G300-B240-e0.95,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,240.0,0.95,0.0
CAPG-G600-B240-e0.95,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,240.0,0.95,0.0
CAPG-G1200-B360-e0,capped,0.19912780487083367,151.18654473125935,255.0,0.5177018200749122,15,0.7664415251463652,104.5814033448696,183.94596603512764,3.4635960667489685,360.0,0.0,0.0
CAPG-G300-B360-e0,capped,0.19912780487083367,151.18654473125935,255.0,0.5177018200749122,15,0.7664415251463652,104.5814033448696,183.94596603512764,3.4635960667489685,360.0,0.0,0.0
CAPG-G600-B360-e0,capped,0.19912780487083367,151.18654473125935,255.0,0.5177018200749122,15,0.7664415251463652,104.5814033448696,183.94596603512764,3.4635960667489685,360.0,0.0,0.0
CAPG-G1200-B360-e0.25,capped,0.5366527114466592,182.95646211504936,340.0,0.6910523415096829,15,0.8224140421866362,313.9435405850372,669.4476626068354,4.707609137515376,360.0,0.25,0.0
CAPG-G300-B360-e0.25,capped,0.3892900230082564,182.95646211504936,300.0,0.6264637616927223,15,0.7881649254759153,158.67044027123603,236.44947764277453,4.704872424256049,360.0,0.25,0.0
CAPG-G600-B360-e0.25,capped,0.5370295556934481,182.95646211504936,340.0,0.6908041604297602,15,0.8520950678735971,322.7128432840109,511.2570407241583,4.707609137515376,360.0,0.25,0.0
CAPG-G1200-B360-e0.5,capped,0.7203052590601298,283.59853164851665,510.0,0.7771575638282311,15,0.9159309104457498,315.8943458460273,1099.1170925348997,6.32880942097384,360.0,0.5,0.0
CAPG-G300-B360-e0.5,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,360.0,0.5,0.0
CAPG-G600-B360-e0.5,capped,0.7203052590601298,283.59853164851665,510.0,0.7641259001824906,15,0.8567377273490031,447.63430798128303,514.0426364094019,6.32880942097384,360.0,0.5,0.0
CAPG-G1200-B360-e0.75,capped,0.7272678266967635,483.9248276352882,1020.0,0.8044321170254726,15,0.9231583354994656,275.1650622689724,1107.7900025993586,12.087387545327273,360.0,0.75,0.0
CAPG-G300-B360-e0.75,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,360.0,0.75,0.0
CAPG-G600-B360-e0.75,capped,0.723790236370106,483.9248276352882,600.0,0.7781304274454117,15,0.8567153809467951,450.31964632689954,514.0292285680771,9.041937505702291,360.0,0.75,0.0
