trace,level,rho_target,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
k1,0,0.8,mean,gain,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s",0.03291491045448991,0.01571298791323074,0.046075606203535534,True,CAP-G1200 better
k1,0,0.8,mean,red_pct,CAP-G1200 - FIXSEL-G1200,"capped relative vs the selected fixed budget, equal grids, G = 1200 s",2.3573404981028148,1.069194828842695,3.3927031979409747,True,CAP-G1200 better
k1,0,0.8,mean,gain,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s",-0.00013387520731955593,-0.006231698626326607,0.006520888000813225,False,unresolved
k1,0,0.8,mean,red_pct,CAP-G1200 - FIX-G1200,"capped relative vs the equal-promise fixed budget B0 = Bmax, G = 1200 s",-0.009588039084668765,-0.43380362520855353,0.4803199627576988,False,unresolved
k1,0,0.8,mean,gain,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s",-0.12866798122825307,-0.15200813264005303,-0.10702692718763741,True,CAP-G1200 better
k1,0,0.8,mean,red_pct,HYB-G1200 - CAP-G1200,"hybrid (queue-length term) vs capped, G = 1200 s",-9.215101568569473,-10.846768025419093,-7.62697338695381,True,CAP-G1200 better
k1,0,0.8,mean,gain,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s",-0.09575307077376316,-0.12401329854693838,-0.07243916743339689,True,FIXSEL-G1200 better
k1,0,0.8,mean,red_pct,HYB-G1200 - FIXSEL-G1200,"hybrid vs the selected fixed budget, G = 1200 s",-6.857761070466658,-8.53715454913723,-5.243943556142792,True,FIXSEL-G1200 better
k1,0,0.8,mean,gain,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s",-0.033048785661809466,-0.04369124183098562,-0.018024525038372586,True,FIX-G1200 better
k1,0,0.8,mean,red_pct,FIXSEL-G1200 - FIX-G1200,"selected fixed budget vs B0 = Bmax, G = 1200 s",-2.3669285371874835,-3.240273781714978,-1.2286511587118694,True,FIX-G1200 better
k1,0,0.8,mean,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.023024221320824823,-0.03807476927084687,-0.0063362259064955,True,SPJF-tweedie better
k1,0,0.8,mean,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-1.6489769714521216,-2.8182059373002684,-0.4248307198699816,True,SPJF-tweedie better
k1,0,0.8,mean,gain,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s",0.6614530753425879,0.6015861593940651,0.7052218925899154,True,CAP-G1200 better
k1,0,0.8,mean,red_pct,CAP-G1200 - SKIP-G1200,"capped relative vs finite skip, G = 1200 s",47.37275904960072,40.44067969254434,52.83152660037441,True,CAP-G1200 better
k1,0,0.8,mean,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,0.21244346468078046,0.12321351462626917,0.2873312692422574,True,CAP-G600-reversed better
k1,0,0.8,mean,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,15.215037073903517,8.497254205781203,20.48301928155991,True,CAP-G600-reversed better
k1,0,0.8,mean,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.08582481810264345,-0.131119893237486,-0.03432198372874083,True,SPJF-random better
k1,0,0.8,mean,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-6.1467072722377925,-9.759645254892229,-2.328932099218962,True,SPJF-random better
k1,0,0.8,mean,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,0.06545722467998738,0.04532391269326246,0.08487826937752428,True,CAP-G600-top1short better
k1,0,0.8,mean,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,4.687995941684257,3.1078140004782653,6.287138420924751,True,CAP-G600-top1short better
