trace,rep,level,k,rho_busy,G,guard,policy,B0,B0_base,eta,Bmax,gap,red_pct,harm,feasible_level,w_p99_dl,w_mean,max_excess,max_heavy,qw_forced_frac,used_over_allowed,guar_excess_max,bound_viol
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B30-e0.9,30.0,30.0,0.9,1800.0,0.7433780872509655,60.514010982327555,223.6005428135395,True,98.15304529249644,3.133562945107701,514.0292285680771,1628.0925133228302,0.026045947117492,0.8567153809467951,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B120-e0,210.0,120.0,0.0,3060.0,0.5120514593802857,28.738821599766126,93.02471324801444,True,33.357593285143295,0.7186684576250875,93.02471324801444,522.2319649010897,0.1072128798653858,0.4823503649897045,192.8571428571429,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B120-e0,150.0,120.0,0.0,2220.0,0.27167123156930356,19.352265375312314,97.153989225626,True,105.34782770335651,2.4485882058258555,106.14558498561382,870.2162547856569,0.2539692963667283,0.570675188094698,186.0,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B120-e0,120.0,120.0,0.0,1800.0,0.015398616189369746,1.2535102193314716,102.65260392427444,True,245.46095779895748,5.640475064138902,102.65260392427444,1167.1732611209154,0.4169438008204191,0.5702922440237469,180.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B120-e0.25,210.0,120.0,0.25,3060.0,0.6493712117519016,36.44587485239839,93.38233608007432,True,29.7498961687088,0.608480312568552,226.63398358225825,718.803181797266,0.0428321492839886,0.5479992963449137,423.4942089205697,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B120-e0.25,150.0,120.0,0.25,2220.0,0.6125058284913925,43.63132330361285,93.91389566659927,True,73.63278916776142,1.871226770956072,330.72083638608456,1161.919051796198,0.0740414279504954,0.6675715884934891,528.9263871759176,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B120-e0.25,120.0,120.0,0.25,1800.0,0.3968621350731,32.30619789869565,102.76180040836334,True,168.2711510834097,3.8654829091584815,481.5149208158255,1594.8302323371172,0.1160852514458366,0.8025248680263758,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B120-e0.5,210.0,120.0,0.5,3060.0,0.7417341669666911,41.6297337082203,113.6483734548092,True,27.323314694166022,0.550548114141566,483.28962944448,931.2357355058192,0.0141643985862297,0.8054827157407999,600.0,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B120-e0.5,150.0,120.0,0.5,2220.0,0.787906413593425,56.125832384577755,102.0427332818508,True,57.31156953245401,1.6151457564541856,492.363316565752,1286.1019549518824,0.0263406422134605,0.8206055276095867,600.0,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B120-e0.5,120.0,120.0,0.5,1800.0,0.6311205574056772,51.375789785859375,145.6661161929369,True,120.868551762104,3.257964817395399,504.9699953198433,1628.1487561315298,0.0441150796788592,0.8416166588664055,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B120-e0.75,210.0,120.0,0.75,3060.0,0.7528344926779555,42.252738045912075,163.03044810891151,True,27.031684303283598,0.5384905540178784,492.0165867507458,788.1952985972166,0.0040042077725679,0.8200276445845763,600.0,0
valid,0,1,5,0.7345263217381305,600.0,cap,CAP-G600-B120-e0.75,150.0,120.0,0.75,2220.0,0.8266173616334924,58.88337331032795,157.34497119486332,True,53.7094727385044,1.5805126942033263,494.062387868762,1296.4245943278074,0.0107409110499106,0.8234373131146033,600.0,0
valid,0,2,4,0.9181579021726632,600.0,cap,CAP-G600-B120-e0.75,120.0,120.0,0.75,1800.0,0.737874878214589,60.06602730110706,219.72739396989343,True,99.2666292154787,3.1292514264032687,514.041429027915,1628.1368214786053,0.0281399417101817,0.856735715046525,600.0,0
valid,0,0,7,0.524661658384379,600.0,cap,CAP-G600-B120-e0.9,210.0,120.0,0.9,3060.0,0.7569608970384594,42.4843319542832,213.3007097542286,True,26.923274428844373,0.5361975796753262,492.018390968442,788.1170456707478,0.0029630188265966,0.82003065161407,600.0,0
