rep0_W,rep1_W,rep2_W,rep3_W,rep4_W,copies
10585.610203109682,11562.640643903986,10539.56265022792,10161.115303605795,10621.665456674993,142
10613.204952090979,11622.105597848073,10591.488574661314,10263.044159263372,10649.48034466058,143
10634.43596124649,11659.566340530291,10637.388486925513,10263.044159263372,10713.452055700123,144
10707.394163161516,11705.747242579237,10737.77068991214,10264.32030826807,10713.452055700123,145
10893.290279328823,11770.182508621365,10825.900925539434,10264.32030826807,10817.708892352879,146
10924.76249217987,11952.676083374768,11037.189886577427,10473.637153297663,10821.905071385205,147
11026.691347837448,11984.487358160317,11065.241679556668,10473.637153297663,10882.73007941991,148
11032.988000765443,11998.061410166323,11154.065590195358,10473.637153297663,11092.046924449503,149
11242.304845795035,12112.85622253269,11183.209822051227,10553.141085490584,11301.363769479096,150
11269.009861782193,12124.115865565836,11184.485971055925,10582.285317346454,11362.022500507534,151
11480.145111784339,12197.016427852213,11412.762083850801,10668.47587698698,11394.248720370233,152
11481.93461279571,12202.565106846392,11441.90631570667,10669.752025991678,11421.848052352667,153
11542.775958821177,12337.240742988884,11534.538079835474,10700.006129845977,11509.731167986989,154
11542.775958821177,12398.442017935216,11594.086938865483,10787.709743484855,11511.488228976727,155
11602.324817851186,12457.388775877655,11622.01006384939,10789.222584471107,11600.115478619933,156
11755.377090975642,12517.49519584328,11631.927585758269,10998.539429500699,11629.715872608125,157
11756.486962974072,12576.396421881393,11718.965766392648,11100.468285158277,11659.284207455814,158
11966.450996994972,12606.193771651015,11725.105810411274,11101.115474149585,11688.428439311683,159
12029.743079021573,12664.529641604051,11814.758987031877,11103.55515910685,11776.250205926597,160
12036.039731949568,12725.183642527089,11914.734486028552,11106.177872091532,11962.328937090933,161
12086.277832098305,12767.389104267582,12006.844502151012,11106.177872091532,12026.300648130476,162
12086.460447095335,12816.728554358706,12007.49169114232,11211.795785620809,12363.75425130874,163
12181.258104212582,12854.208501046523,12059.070436149836,11339.892788738012,12365.030400313437,164
12187.554757140577,12891.445072731003,12228.474209539592,11341.682289749384,12457.604990430176,165
12397.575965173542,12923.174627522007,12255.88634352386,11341.86948774755,12458.823099426925,166
12607.819654174149,12928.994058514014,12257.287067517638,11341.86948774755,12461.496036417782,167
12654.242838330567,13048.381870860234,12266.490743413568,11679.323090925813,12491.061520405114,168
12658.863477312028,13121.28243314661,12286.438827589154,11683.735304921865,12518.693380363286,169
12686.275611296296,13158.51900483109,12286.668743595481,11684.66214889288,12578.242239393294,170
13022.122328460217,13235.79921911098,12288.253062590957,11770.852708533406,12604.947255380452,171
13231.621788486838,13276.144570792094,12321.47980806604,11791.847025707364,12707.087672032416,172
13333.78754913807,13317.001150513068,12353.60203088075,12002.953371748328,12757.7430530563,173
13340.731391057372,13319.823600480333,12530.598397746682,12032.097603604198,13094.95170418173,174
13349.848592981696,13368.365492502227,12532.16146273911,12242.061637625098,13155.846927173436,175
13357.072089880705,13485.619788864627,12559.573596723378,12470.337750419974,13187.811708025634,176
13418.410449922085,13492.87797289528,12686.15775885433,12474.48394240439,13274.002267666161,177
13524.082528576255,13498.426651889458,12714.698588825762,12475.776429399848,13366.112283788621,178
13524.082528576255,13538.265758583322,12806.625989951193,12535.325288429856,13576.992193810642,179
13656.963343635201,13725.472959289327,13018.763383977115,12565.93286728859,13607.638224638999,180
13744.9434042871,13759.132830081508,13024.51215902716,12668.971594944596,13817.142267666757,181
13847.059457942843,13769.567888094112,13056.383984284475,12771.137355595827,13817.142267666757,182
13969.180928766727,13770.192693097517,13085.985555058345,12771.137355595827,13818.705332659185,183
13996.360391750932,13909.35859736614,13220.661191200837,12771.137355595827,14048.487510465086,184
14023.06540773809,13967.451092315838,13279.319042235613,12773.577040553093,14150.62792711705,185
14052.629159584641,14134.50553281419,13393.870479598641,12877.478012219071,14156.924580045044,186
14155.484859213233,14320.944446561858,13393.870479598641,12878.404856190085,14157.772201038897,187
14156.132048204541,14381.97410260886,13585.58364989981,12881.038207188249,14259.701056696475,188
14186.38615205884,14392.538252659142,13593.063742872328,12882.738246172667,14286.588687680662,189
14187.898993045092,14575.466140411794,13651.721593907103,12988.227296799421,14349.909302674234,190
14291.103997707367,14634.538654448465,13817.837888410315,12988.227296799421,14350.836146645248,191
14291.578444704413,14729.768311681226,13857.44626510702,12988.227296799421,14378.357032753527,192
14444.63071782887,14730.706457676366,13916.47690605186,12988.414494797587,14599.068381018937,193
14504.416481852531,14788.798952626064,13948.015968838707,13041.091691084206,14658.617240048945,194
14531.308695837855,14794.394212620333,13954.045541832224,13144.810047753155,14662.759129084647,195
