trace,level,rho_target,k,policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,mean_red_pct,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,qw_fired,used_over_allowed,guar_excess_s
primary,0,0.5,7.8,FIX-G600,tweedie,600.0,3480.0,0.0,3480.0,0,14.958311489671527,0.7398853821459264,0.7134486855327417,0.7611555915545563,45.835032316089226,42.99333908728793,49.30011908975975,0.3092691519984564,0.8377636490104725,0.7865480807442514,0.8623482284475084,57.296849994460516,6.7234898970127235,498.2089142948389,238.06104281917212,924.19569170475,0.00098366496962444,0.8303481904913982,600.0
primary,0,0.5,7.8,CAP-G600,tweedie,600.0,60.0,0.9,3480.0,0,14.977050487399158,0.738525513360484,0.7118688178309054,0.7593550178236296,45.749985249585166,42.90538532432704,49.22340600989643,0.3101380428894648,0.8353395116284072,0.7855557054189684,0.8594075689001635,57.12992125510216,6.735061762213716,491.74783711880445,238.06104281917212,919.6127490699292,0.0011749700338015,0.8195797285313408,600.0
primary,0,0.5,7.8,SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,58,24.845925693512054,0.17157586648370396,0.12493494064679347,0.21728188250502997,10.664323105607739,7.807372812663674,14.014164242833024,0.6288491236110609,0.18526178058855192,0.15522775060389432,0.24044243512602484,12.669127200856082,11.465118285268556,100.17593576014042,63.36533384025097,488.3814498335123,0.38009046564288623,0.1669598929335673,600.0
primary,0,0.5,7.8,FIX-G1200,tweedie,1200.0,8280.0,0.0,8280.0,0,14.75413819596175,0.7501928123579372,0.7224282086088171,0.7738106462067503,46.46945861661264,43.645467198182956,49.870689518424584,0.2932026881830628,0.8690331794631151,0.803562855186245,0.8975583032112883,59.43581311245647,6.635477638095632,1073.294157937169,238.06104281917212,1249.6681568399072,2.978521040029542e-05,0.8944117982809743,1200.0
primary,0,0.5,7.8,CAP-G1200,tweedie,1200.0,240.0,0.9,8280.0,0,14.75027109906082,0.7504474038011143,0.7226169904711397,0.773987093772186,46.48596520043808,43.67532216938744,49.90346484839331,0.29301743449090284,0.8693341579284404,0.8038988280545567,0.8978842236228899,59.45653901749896,6.63036149826647,1078.6580733656883,238.06104281917212,1247.210095912218,0.00011534408414306911,0.8988817278047403,1200.0
primary,0,0.5,7.8,SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,138,21.776457013934913,0.35680757961606424,0.2787296044512126,0.42419689849767794,22.151870134269167,16.9831583024141,27.38994953824517,0.5734227007903588,0.29810513712842085,0.2555791627073363,0.3769356603078626,20.385082272271767,9.398246535480032,102.2186067700386,67.59797655045986,490.6059185415506,0.2916751886947412,0.0851821723083655,1200.0
primary,0,0.5,7.8,SPJF-reversed,reversed,-1.0,-1.0,-1.0,0.0,-1,42.722979891747435,-0.8623201550532208,-1.0382032421870688,-0.6398534742244859,-53.34139522861146,-62.955166419860255,-41.102863256128344,1.3340368535818727,-1.2562479730324185,-1.3636354295874413,-1.1871603770053458,-85.94090568554864,21.059895635157908,1240.1265982985497,1240.1265982985497,996.654228657484,0.0,,inf
primary,0,0.5,7.8,CAP-G600-reversed,reversed,600.0,60.0,0.9,3480.0,0,43.25376304447677,-0.8908201201198869,-1.0671617781336968,-0.6699917127315592,-55.100495897840155,-64.85390496106477,-42.65089457839302,1.291700658286776,-1.1721752653389346,-1.2928013742305724,-1.1058173007079541,-80.19342865384249,21.249712825119534,497.10471507906914,401.0402882099152,855.9162611365318,0.1219902579483024,0.8285078584651152,600.0
primary,0,0.5,7.8,SPJF-random,random,-1.0,-1.0,-1.0,0.0,-1,16.821821625381844,0.638543281570505,0.5879920952092681,0.703120875390111,39.58564992728272,35.117089435883905,46.19351741524183,0.5172183740630972,0.4145228229380985,0.38067655054148697,0.4390528474635461,28.354574536891448,7.662844836205251,1307.655590068549,1275.9909391850233,1379.1109325997531,0.0,,inf
primary,0,0.5,7.8,CAP-G600-random,random,600.0,60.0,0.9,3480.0,0,17.04548895090831,0.6264145468336058,0.5732982463495734,0.6931988496071174,38.83599826148618,34.24534301544758,45.584836023785506,0.5360518651699572,0.37724004611172024,0.3509773682055296,0.40918300242234806,25.801172079972297,7.787079536676428,489.9477818459272,431.7308191508055,944.060522928834,0.0193743137749218,0.8165796364098787,600.0
primary,0,0.5,7.8,SPJF-top1short,top1short,-1.0,-1.0,-1.0,0.0,-1,38.256118357479764,-0.5975227815431943,-0.7684600279630401,-0.3719274434831329,-36.954090306926496,-46.17820557588914,-24.182236315105786,1.136631097516938,-0.8566565339533243,-0.9069803323242013,-0.7924596194772121,-58.62620993064545,16.69158033418658,1307.3153163194656,1238.543365880847,1172.7350834310057,0.0,,inf
primary,0,0.5,7.8,CAP-G600-top1short,top1short,600.0,60.0,0.9,3480.0,0,38.65983764484539,-0.6197290136718515,-0.7966558501136322,-0.3920685306437965,-38.33024562562701,-47.94737448896934,-25.364233319040473,1.1198617994383724,-0.8238540870963498,-0.8792324586438014,-0.7674275170598531,-56.381130682350104,16.86726390305163,497.08805829286575,377.8700044155121,850.5157142877579,0.10226807251629541,0.8284800971547762,600.0
primary,1,0.8,5.0,FCFS,-,-1.0,-1.0,-1.0,0.0,-1,119.35185892388252,0.0,0.0,0.0,0.0,0.0,0.0,4.160141228293902,0.0,0.0,0.0,0.0,84.51847814803577,0.0,0.0,1022.8811564445496,1.0,,inf
primary,1,0.8,5.0,SJF-ref,svc,-1.0,-1.0,-1.0,0.0,-1,33.552583387047086,1.0,1.0,1.0,71.77488851831069,66.98128540157963,75.05555531929286,0.9588075263635462,1.0,1.0,1.0,76.93865922255603,25.450072571128622,2667.424100443721,1242.3067464232445,3072.262211114168,0.0,,inf
primary,1,0.8,5.0,SPJF-M4,M4,-1.0,-1.0,-1.0,0.0,-1,44.39447505906233,0.8728131601236118,0.8508763041860739,0.8865171235824466,62.661520199675486,57.414155643315176,66.21293247313558,1.2507146498701185,0.9086714141899822,0.875479868831781,0.9255112993966901,69.91639629300761,30.14310768076779,3055.1175796054304,390.8840507119894,3346.7394046597183,0.0,,inf
primary,1,0.8,5.0,SPJF-M4refit,M4refit,-1.0,-1.0,-1.0,0.0,-1,44.40678300067808,0.8726476427537708,0.8507545858879706,0.8864443606316673,62.65018845455883,57.38403805360452,66.18852566579166,1.250915058865387,0.9086058043781644,0.8752539784336645,0.9254190773810764,69.91145084014804,30.131006297707575,3055.1232972815637,390.47168654203415,3346.745122335851,0.0,,inf
primary,1,0.8,5.0,SPJF-tweedie,tweedie,-1.0,-1.0,-1.0,0.0,-1,43.38931273520004,0.8846750091248878,0.861981667774171,0.8984638268455045,63.511167782216276,58.04359357062159,67.29817474433291,1.2297177248600337,0.9152527093477912,0.8840954979166578,0.9309422742204254,70.42193988895862,29.610184868328275,3044.4703496694565,469.25615863502026,3312.7707649096847,0.0,,inf
