level,k,late_submissions,mode,policy,n_overlays,n_jobs,n_dropped,bound_violations,p99_dl_s,p99_dl_realised_window_s,mean_s,gap_closed,reduction_pct,fired_pct,fired_fraction_queue_weighted,drift_mean_s,drift_p50_s,drift_p99_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,rho_busy_hour,span_days,offered_work_s,max_s,max_excess_s,harm_s,max_heavy_s,worst_ratio_to_bound,drift_max_s
0,8,kept,open,SJF,3,17634760,0,,8.787519733333363,8.787519733333363,0.19540510265615563,1.0,62.59003827871255,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.5045773617129586,208.32048956768517,7048760.541504,1185.898583,1034.036691,595.937164,1185.898583,nan,0.0
0,8,kept,open,SPJF-E,3,17634760,0,,12.541528116666699,12.541528116666699,0.24795752527400428,0.7430093777100444,46.5114649101538,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.5045773617129586,208.32048956768517,7048760.541504,1374.79477,1241.418616,237.038507,1374.79477,nan,0.0
1,5,dropped,closed,FCFS,3,17491306,143453,,42.22129,42.194080876666625,1.2730311171172393,0.0,0.0,100.0,1.0,204.78808212050953,55.926892333333335,1609.5482993333335,0.0,1115.4902859362228,7773.753333333334,0.733315289962961,208.32048956768517,6976564.873485333,432.048504,0.0,0.0,430.537499,nan,3933.794395
1,5,dropped,closed,Guard(600),3,17531181,103579,0,26.285246553333305,26.27561206999999,0.630802165291566,0.8435009755194817,37.72475997329938,0.003118251122598368,0.0014619753875991922,92.91661562940016,29.624237333333337,719.3393389600014,0.0,1126.446893722712,7865.71,0.757782448981486,208.32048956768517,7004031.199837667,959.138706,509.276596,247.03499,959.138706,0.9038441995318038,2950.884055
1,5,dropped,closed,SJF,3,17540311,94448,,23.34177880666667,23.333044549999954,0.5546842086181021,1.0,44.69787248206279,0.0,0.0,76.84268348626077,27.212593666666667,534.6655466666666,0.0,1129.011994622878,7869.12333333333,0.7161911095370325,208.32048956768517,7010705.732454333,2541.440933,2020.362785,792.194814,2541.440933,nan,3065.152532
1,5,dropped,closed,SPJF-E,3,17533146,101614,,26.32564937999995,26.31405312666666,0.6067504063171977,0.8415908377081623,37.64196456034338,0.0,0.0,89.25881704756023,29.56403333333333,662.4786433333334,0.0,1127.1812083224393,7894.0300000000025,0.7473000485000029,208.32048956768517,7004709.054214667,3130.265189,2824.757891,536.742593,3130.265189,nan,3234.841574
1,5,kept,closed,FCFS,3,17634760,0,,42.14858505000016,42.43269521666665,1.2873611191349925,0.0,0.0,100.0,1.0,210.25472483919245,56.817868,1643.6433381200004,0.008245193016519646,1134.2120796391016,7876.613333333337,0.744952055999997,208.32048956768517,7048760.541504,425.631479,0.0,0.0,420.068141,nan,4269.08738
1,5,kept,closed,Guard(600),3,17634760,0,0,26.81015105000004,26.804113703333314,0.632768514086365,0.8090440517047232,36.40042116424676,0.0031887779211814244,0.0013399024016803186,93.2856721079021,29.710201666666666,725.2046569166677,0.005865763601735058,1136.7557387554104,7903.453333333331,0.7668699556481502,208.32048956768517,7048760.541504,937.139639,505.539223,270.828671,916.585711,0.8751211427457495,3078.643805
1,5,kept,closed,SJF,3,17634760,0,,23.18655261666676,23.189081826666698,0.55540314145451,1.0,44.99545334738505,0.0,0.0,77.5965741377907,27.374017,541.5131611000008,0.005379130006116707,1137.2670118483688,7917.633333333331,0.7234248791851806,208.32048956768517,7048760.541504,2517.954339,1958.594692,1082.354953,2517.954339,nan,3003.017826
1,5,kept,closed,SPJF-E,3,17634760,0,,26.473891450000064,26.43905838666662,0.6086703846609575,0.8267614113648497,37.20151491261223,0.0,0.0,90.49339840479455,30.2227195,671.0286176666667,0.0057745989549427765,1136.654345387042,7918.759999999985,0.7447865315000034,208.32048956768517,7048760.541504,2691.597028,2479.829296,820.643524,2691.597028,nan,3067.353161
1,5,kept,open,FCFS,3,17634760,0,,113.77007508333362,113.77007508333362,4.180118282130671,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.8073237787407339,208.32048956768517,7048760.541504,1023.819617,0.0,0.0,1022.881156,nan,0.0
1,5,kept,open,Guard(600),3,17634760,0,0,47.15269788333344,47.15269788333344,1.5242468208374822,0.8272711371203149,58.51360838316086,0.01964113300473988,0.013142632947511716,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.8073237787407339,208.32048956768517,7048760.541504,1467.37457,498.884717,206.886674,1466.888672,0.9265059996729185,0.0
1,5,kept,open,SJF,3,17634760,0,,33.25093763333334,33.25093763333334,0.9440783653194411,1.0,70.72542633074103,0.0,0.0,0.0,0.0,0.0,0.003425734175004366,1138.297379454986,7902.556666666666,0.8073237787407339,208.32048956768517,7048760.541504,3072.262211,2667.424099,774.847243,3072.262211,nan,0.0
