overlay,level,k,policy,mode,late_submissions,n_jobs,n_dropped,offered_work_s,p99_dl_s,p99_dl_realised_window_s,n_dl_recorded,n_dl_realised,mean_s,p99_all_s,max_s,max_heavy_s,max_excess_s,harm_s,fired_fraction_queue_weighted,fired_pct,max_fcfs_own_s,seconds,drift_mean_s,drift_p50_s,drift_p99_s,drift_max_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,dl_arrivals_per_hour_max,busy_hour_work_s,rho_busy_hour,span_days,bound_violations,worst_ratio_to_bound,bmax_s,gap_closed,reduction_pct
2,0,8,SPJF-E,open,kept,17634760,0,7048760.541504,14.619660650000059,14.619660650000059,4219556,4219556,0.28210776388762876,6.345662560000003,963.406231,963.406231,871.642883,181.269423,0.0,0.0,379.761467,2.1,0.0,0.0,0.0,0.0,0.003425734175004366,1134.289247311828,8000.229999999996,12156.0,14114.958100999918,0.49010271184027493,208.32048956768517,,nan,,0.7474423941550629,45.53414810165832
0,1,5,FCFS,closed,dropped,17490807,143953,6975649.814766,42.75273809999996,42.723215869999855,4136015,4141988,1.2830045461200275,35.76643812000007,343.658514,343.33738,0.0,0.0,1.0,100.0,343.658514,1.8,202.9359280419909,56.575819,1542.405155,3933.794395,0.0,1123.0016291067066,7774.859999999995,12054.0,13710.347370999873,0.7616859650555484,208.32048956768517,,nan,,0.0,0.0
1,1,5,FCFS,closed,dropped,17490736,144024,6975694.133973,42.73944337999999,42.713915070000006,4135944,4142222,1.2758994432065638,36.14296874999974,365.301666,359.439719,0.0,0.0,1.0,100.0,365.301666,1.8,209.39549255292863,59.956443,1639.130563,3698.320648,0.0,1111.5141091104542,7623.200000000003,12653.0,13385.149223999984,0.7436194013333325,208.32048956768517,,nan,,0.0,0.0
2,1,5,FCFS,closed,dropped,17492377,142383,6978350.671717,41.17168852000007,41.14511169000002,4137585,4143674,1.2601893620251268,34.48656827999996,432.048504,430.537499,0.0,0.0,1.0,100.0,432.048504,1.6,202.03282576660905,51.248415,1647.10918,3535.931517,0.0,1111.9551195915076,7923.200000000006,11865.0,12503.529063000036,0.6946405035000021,208.32048956768517,,nan,,0.0,0.0
0,1,5,Guard(600),closed,dropped,17531225,103535,7004049.896324,27.13248880000009,27.122722209999967,4176433,4179540,0.6427304929229989,19.84101968000007,959.138706,959.138706,497.094869,247.03499,0.001352818270804049,0.003274157966713678,516.664634,8.0,93.9927691921628,30.734328,731.0555818800042,2950.884055,0.0,1134.2838131450299,7824.230000000001,12130.0,14030.303502999996,0.7794613057222219,208.32048956768517,0,0.8707934529884926,2220.0,0.8221404803176954,36.53625473873423
1,1,5,Guard(600),closed,dropped,17531432,103328,7004065.746514,25.436203359999976,25.4271515,4176640,4179676,0.6167157968839054,18.906197950000074,852.780821,852.780821,509.276596,181.648528,0.001433641478416428,0.003251303145116725,390.756035,7.9,91.88168932223357,32.107365,691.532534,2730.642423,0.0,1122.4509540446118,7789.800000000001,12560.0,13670.12916300016,0.7594516201666756,208.32048956768517,0,0.9038441995318038,2220.0,0.8726935888441953,40.48541265770696
2,1,5,Guard(600),closed,dropped,17530886,103874,7003977.956675,26.28704749999984,26.276962499999996,4176094,4179234,0.6329602060677938,19.27917714999985,797.881689,761.115455,491.459452,235.11767,0.0015994664135770996,0.0028292922559647014,359.3985,6.6,92.8753883738041,26.031019,735.429901,2135.696479,0.0,1122.6059139784945,7983.099999999999,12013.0,13219.81957900009,0.7344344210555606,208.32048956768517,0,0.8583730127081952,2220.0,0.8356688573965544,36.15261252345694
0,1,5,SJF,closed,dropped,17539754,95006,7010473.803301,23.753248750000044,23.740811729999987,4184962,4187588,0.563350065421385,17.505208379999814,2541.440933,2541.440933,2020.362785,493.105557,0.0,0.0,754.356612,1.9,79.17275826758278,28.473139,552.867698,3065.152532,0.0,1136.908992121706,7858.3999999999905,12188.0,13314.32716099996,0.7396848422777755,208.32048956768517,,nan,,1.0,44.44040357265429
1,1,5,SJF,closed,dropped,17539394,95366,7009473.821048,22.91204892999995,22.90654976000002,4184602,4187197,0.5496820931606303,17.258272700000006,2333.362336,2333.362336,1874.642565,792.194814,0.0,0.0,594.412271,1.9,77.73310393440042,29.4871,528.499457,2619.586979,0.0,1124.5907014243483,7774.200000000003,12603.0,12588.75938399989,0.6993755213333273,208.32048956768517,,nan,,1.0,46.391325861951465
2,1,5,SJF,closed,dropped,17541787,92973,7012169.573014,23.36003874000002,23.351772159999857,4186995,4189469,0.5510204672722909,16.837004500000017,1887.183844,1887.183844,1473.111121,326.913231,0.0,0.0,572.221462,1.8,73.62218825679909,23.677542,522.629485,2197.953186,0.0,1125.5362903225807,7974.769999999999,12056.0,12771.233369999905,0.7095129649999947,208.32048956768517,,nan,,1.0,43.26188801158262
