policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
guard G=15L (B=52193s),14.047409753893072,277.6750156483209,2107.456618116364,3206.2889870466897,2240.2410737887717,3206.2889870466897,0.1758702363502111,2809.0186039450346,0.0,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.8493792826369981,0.9075747254728029,14.632731634476167,456399,-1492.6396510551285,14.999999999999998
guard B/k=0.001L (B=4s),53.348341002746395,1142.9285068742583,2074.0704245625643,2138.711696140934,2035.9361756341066,2138.711696140934,0.1791853181098118,117.38401009771042,0.10490163212452262,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.060811216967587844,0.14729148842795442,14.632731634476167,456399,-704.9974558526543,2.867666666666667
guard B/k=0.01L (B=43s),45.27301975972295,1071.1051188028587,2075.7954909035316,2141.334556123009,2038.8070516343928,2141.334556123009,0.17849513254849375,141.07680992246605,0.07141558154158971,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.1262690634549101,0.303509959078113,14.632731634476167,456399,-683.8856509808987,2.876666666666667
guard B/k=0.1L (B=430s),33.45183191837026,955.7511468696898,2083.7559253593763,2162.652077878127,2037.995178470643,2161.0852220081724,0.17725937173394332,175.63190691941418,0.03096194338725545,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.23139947834146443,0.5321928597664027,14.632731634476167,456399,-675.1405035139517,2.9666666666666672
"guard rel eta=0.5 (C0=4302s,Bmax=52193s)",14.598589912637257,293.75908507750023,2069.692714461776,2511.129031957593,2228.277486635604,2511.129031957593,0.1759118665904176,1603.124469091883,0.0008545154568699756,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.8347207072640286,0.8969120510279791,14.632731634476167,456399,-1467.0157054170468,7.733333333333333
"guard rel eta=0.75 (C0=4302s,Bmax=52193s)",14.06563823919297,277.6750156483209,2118.0550810961777,3193.922093933448,2241.1938967268215,3193.922093933448,0.1759118665904176,2717.718035980477,4.820343602856273e-05,azure,busy-hour rho=1.0,1.0,15,286.7772170000109,0.8493792826369981,0.9072220923068741,14.632731634476167,456399,-1583.940219019686,14.999999999999998
FCFS,2265.0740200423716,10863.708515464545,11589.96298796267,11771.819982975372,11367.803092282546,11771.329752018093,0.6606631478158366,0.0,0.0,azure,window rho=0.8,0.8,4,286.7772170000109,0.0,0.0,14.632731634476167,456399,,
SJF-true (reference),89.67933185409791,1770.7569438170478,15265.39679697686,42169.99667509727,20527.4984253528,42169.99667509727,0.6538927561190976,41963.76232810004,0.0,azure,window rho=0.8,0.8,4,286.7772170000109,1.0,1.0,14.632731634476167,456399,,
SPJF-log,167.63125498436833,5013.63611055268,23423.43849920799,41200.394416018156,27314.73938422012,41200.394416018156,0.6545632220929494,33990.75489115773,0.0,azure,window rho=0.8,0.8,4,286.7772170000109,0.6433634182274575,0.96416653789148,14.632731634476167,456399,,
SPJF-tweedie,175.28524842652678,5266.531419471626,24158.42530127606,41052.71919694962,27887.406450117924,41052.71919694962,0.6547165966621311,33843.079672089196,0.0,azure,window rho=0.8,0.8,4,286.7772170000109,0.6155511829014174,0.9606480989232701,14.632731634476167,456399,,
SPJF-ent-tweedie,177.0916890856877,5380.052422147652,23518.94551442274,40956.19674196304,28041.522640615894,40956.19674196304,0.6551153705420039,33746.557217102614,0.0,azure,window rho=0.8,0.8,4,286.7772170000109,0.6030666775368455,0.9598177021824076,14.632731634476167,456399,,
guard G=2L (B=0s),2265.0740200423716,10863.708515464545,11589.96298796267,11771.819982975372,11367.803092282546,11771.329752018093,0.6606631478158366,0.0,1.0,azure,window rho=0.8,0.8,4,286.7772170000109,0.0,0.0,14.632731634476167,456399,-716.9430425000273,2.5
