job_id,actual_wait_ns,exact_shadow_fcfs_wait_ns,exact_guard_upper_bound_ns,exact_excess_ns,bound_slack_ns,production_shadow_rounding_error_ns
284,23723098800,1009486785300,1309486785300,-985763686500,1285763686500,-3300
285,23806026800,1009537093500,1309537093500,-985731066700,1285731066700,3500
286,23967509300,1009730687500,1309730687500,-985763178200,1285763178200,-3500
287,24050456200,1009780992600,1309780992600,-985730536400,1285730536400,3400
288,680025700,1009258065000,1309258065000,-1008578039300,1308578039300,-4000
289,916545800,1009308298800,1309308298800,-1008391753000,1308391753000,3200
290,1152816300,1009494079400,1309494079400,-1008341263100,1308341263100,-3400
291,1389143500,1009544155800,1309544155800,-1008155012300,1308155012300,3200
292,1625663400,1009729968600,1309729968600,-1008104305200,1308104305200,-3600
293,1862358900,1009780180400,1309780180400,-1007917821500,1307917821500,2600
294,2098999000,1009966185400,1309966185400,-1007867186400,1307867186400,-3400
295,110635300,1007791627900,1307791627900,-1007680992600,1307680992600,3100
296,350402500,1007977343100,1307977343100,-1007626940600,1307626940600,-3100
297,359102000,1007404299900,1307404299900,-1007045197900,1307045197900,3100
298,570920800,1007589880400,1307589880400,-1007018959600,1307018959600,-2400
299,406326700,1007239118300,1307239118300,-1006832791600,1306832791600,3700
300,656591900,1007424727000,1307424727000,-1006768135100,1306768135100,-3000
301,907423900,1007488983600,1307488983600,-1006581559700,1306581559700,4400
302,298602600,1006024769800,1306024769800,-1005726167200,1305726167200,-2800
303,1220001400,1006088791100,1306088791100,-1004868789700,1304868789700,4900
304,76985000,1005802560300,1305802560300,-1005725575300,1305725575300,-2300
305,309870700,1005866514500,1305866514500,-1005556643800,1305556643800,4500
306,542720500,1006035052400,1306035052400,-1005492331900,1305492331900,-2400
307,661631400,1005762431900,1305762431900,-1005100800500,1305100800500,4100
308,1074646100,1005931194500,1305931194500,-1004856548400,1304856548400,-2500
309,1284239200,1005971486600,1305971486600,-1004687247400,1304687247400,4400
310,1493708900,1006140282900,1306140282900,-1004646574000,1304646574000,-1900
311,1361921300,1005839096700,1305839096700,-1004477175400,1304477175400,4300
312,2503189300,1006008009500,1306008009500,-1003504820200,1303504820200,-2500
313,3198390100,1006105734500,1306105734500,-1002907344400,1302907344400,4500
314,3465464700,1006274459900,1306274459900,-1002808995200,1302808995200,-1900
315,126309700,1005969180800,1305969180800,-1005842871100,1305842871100,4200
316,3023110700,1005831666000,1305831666000,-1002808555300,1302808555300,-2000
317,3471722300,1005866195400,1305866195400,-1002394473100,1302394473100,4600
318,6242573100,1006279715200,1306279715200,-1000037142100,1300037142100,-2200
319,13459409300,1006160352300,1306160352300,-992700943000,1292700943000,4700
320,13598622700,1006361976500,1306361976500,-992763353800,1292763353800,4500
321,13661464200,1006563673900,1306563673900,-992902209700,1292902209700,5100
322,13800774500,1006574042100,1306574042100,-992773267600,1292773267600,-2100
323,13863506800,1006765296300,1306765296300,-992901789500,1292901789500,4700
324,14003047400,1006775951700,1306775951700,-992772904300,1292772904300,-1700
325,29473300,1006230477700,1306230477700,-1006201004400,1306201004400,5300
326,247834500,1006241260100,1306241260100,-1005993425600,1305993425600,-2100
327,466457600,1006448467700,1306448467700,-1005982010100,1305982010100,5300
328,684786000,1006459491300,1306459491300,-1005774705300,1305774705300,-1300
329,1187101067700,1006231312300,1306231312300,180869755400,119130244600,4700
330,10141108200,1005824342600,1305824342600,-995683234400,1295683234400,-600
331,10633285000,1006228269400,1306228269400,-995594984400,1295594984400,-1400
332,10783529500,1006632668700,1306632668700,-995849139200,1295849139200,-700
333,222477100,1006942002600,1306942002600,-1006719525500,1306719525500,-600
334,436767100,1007155741900,1307155741900,-1006718974800,1306718974800,-900
335,10053514200,1006024125200,1306024125200,-995970611000,1295970611000,-200
336,10192447000,1006211734000,1306211734000,-996019287000,1296019287000,0
337,10241456200,1006399615000,1306399615000,-996158158800,1296158158800,-1000
338,10380692700,1006587241000,1306587241000,-996206548300,1296206548300,-1000
339,316713500,1006355285400,1306355285400,-1006038571900,1306038571900,-400
340,944796600,1006589284100,1306589284100,-1005644487500,1305644487500,-1100
341,1179524100,1006823602400,1306823602400,-1005644078300,1305644078300,-1400
342,1414136100,1007057698800,1307057698800,-1005643562700,1305643562700,-800
343,1649076500,1007292158100,1307292158100,-1005643081600,1305643081600,-1100
344,1233000,1006976524200,1306976524200,-1006975291200,1306975291200,-1200
345,198278000,1007173031100,1307173031100,-1006974753100,1306974753100,-1100
346,670146400,1006705449000,1306705449000,-1006035302600,1306035302600,-1000
347,858900000,1006893619500,1306893619500,-1006034719500,1306034719500,-1500
348,1047804400,1007082046300,1307082046300,-1006034241900,1306034241900,-1300
349,1236582400,1007270377600,1307270377600,-1006033795200,1306033795200,-1600
350,14443206200,1007237440500,1307237440500,-992794234300,1292794234300,-1500
351,14522382000,1007422047700,1307422047700,-992899665700,1292899665700,-700
352,14628335200,1007606641400,1307606641400,-992978306200,1292978306200,-1400
353,14707499000,1007791597000,1307791597000,-993084098000,1293084098000,-1000
354,14813838900,1007976460600,1307976460600,-993162621700,1293162621700,-600
355,14892942400,1008161278000,1308161278000,-993268335600,1293268335600,-1000
356,14999080300,1008346196200,1308346196200,-993347115900,1293347115900,-200
357,15078385400,1008530858500,1308530858500,-993452473100,1293452473100,-500
358,297796600,1006569182400,1306569182400,-1006271385800,1306271385800,-1400
359,1031150700,1006796035800,1306796035800,-1005764885100,1305764885100,-800
360,1258602800,1007023018900,1307023018900,-1005764416100,1305764416100,-900
361,1843060200,1006954310700,1306954310700,-1005111250500,1305111250500,-700
362,2255978600,1007366823700,1307366823700,-1005110845100,1305110845100,-700
363,3454400700,1007779246900,1307779246900,-1004324846200,1304324846200,-900
364,27299100,1007758787500,1307758787500,-1007731488400,1307731488400,4500
365,280332600,1007989325800,1307989325800,-1007708993200,1307708993200,-800
366,235608300,1007258931700,1307258931700,-1007023323400,1307023323400,4300
367,453161800,1007475982700,1307475982700,-1007022820900,1307022820900,5300
368,670745100,1007489578900,1307489578900,-1006818833800,1306818833800,-900
369,3627993100,1006974195500,1306974195500,-1003346202400,1303346202400,4500
370,3777518900,1006987569500,1306987569500,-1003210050600,1303210050600,-1500
371,3850212800,1007196006800,1307196006800,-1003345794000,1303345794000,4200
372,3999519500,1007209203400,1307209203400,-1003209683900,1303209683900,-400
373,277175700,1006699656800,1306699656800,-1006422481100,1306422481100,4200
374,470048400,1006713168700,1306713168700,-1006243120300,1306243120300,-700
375,662814600,1006892114300,1306892114300,-1006229299700,1306229299700,3700
376,862709300,1006905458700,1306905458700,-1006042749400,1306042749400,-700
377,128621000,1004952470700,1304952470700,-1004823849700,1304823849700,4300
378,278521500,1004965797500,1304965797500,-1004687276000,1304687276000,-500
