pool,original_swf_hour,valid,utilisation,arrivals,offered_work_ratio
old_CE2,5606.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5607.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5608.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5609.104722222222,True,0.00012896825396825395,6,0.00012896825396825398
old_CE2,5610.104722222222,True,0.0036458333333333334,5,0.0036458333333333334
old_CE2,5611.104722222222,True,0.0004166666666666667,5,0.0004166666666666667
old_CE2,5612.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5613.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5614.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5615.104722222222,True,0.011879960317460317,10,0.2181597222222222
old_CE2,5616.104722222222,True,0.4264136904761905,65,1.7735168650793651
old_CE2,5617.104722222222,True,0.8927232142857143,27,0.5690376984126985
old_CE2,5618.104722222222,True,0.8129960317460317,10,0.20521825396825397
old_CE2,5619.104722222222,True,0.39762896825396826,4,6.944444444444444e-05
old_CE2,5620.104722222222,True,0.15800595238095236,4,6.944444444444444e-05
old_CE2,5621.104722222222,True,0.23266369047619048,36,1.9346230158730158
old_CE2,5622.104722222222,True,0.8083184523809523,53,2.7812251984126983
old_CE2,5623.104722222222,True,0.8928819444444445,7,0.14623015873015874
old_CE2,5624.104722222222,True,0.8928819444444445,4,6.944444444444444e-05
old_CE2,5625.104722222222,True,0.7986507936507936,4,6.944444444444444e-05
old_CE2,5626.104722222222,True,0.5360019841269842,4,7.936507936507937e-05
old_CE2,5627.104722222222,True,0.383139880952381,4,6.944444444444444e-05
old_CE2,5628.104722222222,True,0.2448313492063492,4,5.9523809523809524e-05
old_CE2,5629.104722222222,True,0.0785218253968254,5,0.000248015873015873
old_CE2,5630.104722222222,True,0.044375,4,6.944444444444444e-05
old_CE2,5631.104722222222,True,0.016969246031746033,4,6.944444444444444e-05
old_CE2,5632.104722222222,True,0.00015376984126984128,6,0.00015376984126984128
old_CE2,5633.104722222222,True,0.0025148809523809525,5,0.0025148809523809525
old_CE2,5634.104722222222,True,0.0004117063492063492,5,0.0004117063492063492
old_CE2,5635.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5636.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5637.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5638.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5639.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5640.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5641.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5642.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5643.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5644.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5645.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5646.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5647.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5648.104722222222,True,5.952380952380953e-05,4,5.9523809523809524e-05
old_CE2,5649.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5650.104722222222,True,5.952380952380953e-05,4,5.9523809523809524e-05
old_CE2,5651.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5652.104722222222,True,0.00010416666666666667,6,0.00010416666666666667
old_CE2,5653.104722222222,True,0.009370039682539683,6,0.009370039682539683
old_CE2,5654.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5655.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5656.104722222222,True,0.00010912698412698413,5,0.00010912698412698413
old_CE2,5657.104722222222,True,0.0022172619047619046,5,0.0022172619047619046
old_CE2,5658.104722222222,True,0.0004067460317460318,5,0.00040674603174603173
old_CE2,5659.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5660.104722222222,True,5.952380952380953e-05,4,5.9523809523809524e-05
old_CE2,5661.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5662.104722222222,True,5.952380952380953e-05,4,5.9523809523809524e-05
old_CE2,5663.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5664.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5665.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5666.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5667.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5668.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5669.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5670.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5671.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5672.104722222222,True,0.008020833333333333,11,0.6158928571428571
old_CE2,5673.104722222222,True,0.16696924603174604,13,0.7090128968253968
old_CE2,5674.104722222222,True,0.41466269841269837,24,1.6361656746031745
old_CE2,5675.104722222222,True,0.6517361111111111,7,0.24337301587301588
old_CE2,5676.104722222222,True,0.7284623015873015,11,0.2403422619047619
