pool,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,heavy_max,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
old_CE2,SPJF-static,50272,29704,356.28695894334817,9796.860000000204,13106.550000000017,64178.0,719.0,79662.52,80797.0,0.0,39492.03225,9.498425200917238,983.3353763170365,0.0,60115.32125,2.065122347302319,1512.2312029307582,0.043082926453987036,0.13980363983345873,0.09290769044162672,0.15628022446112605,-0.01399150529565163,-0.08899310100483541,0.03382313574853078,0.49288571550082394,2000,0.010104271336017394,0.22561966205012973,2000,0.0012904154211143704,0.8668658032771726,1882,0.00011946630908030643,0.7658453646602331,1884,-0.698321195342394,1.0,1808,-0.059321797004376876,0.9620175815433613,1815
old_CE2,Constant-3.5L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Age-3.5L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Skip-3.5L,50272,29704,332.64550843411837,9078.0,13037.590000000055,42008.0,347.0,79737.36000000002,81963.0,0.0,34012.806249999994,8.4172644788874,923.8638974142198,0.0,58639.2437499998,2.0173429042561293,1459.6043374382123,0.10657923769358046,0.3458484969945441,0.15946701431165278,0.2682398052551822,-0.008656397719275732,-0.055059099095573945,0.31815379551364703,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.056299817622998564,0.9445277010706135,1882,0.02213060478637659,0.8414653626374403,1884,-0.2769028909373212,1.0,1808,-0.026044657360360993,0.982722012344775,1815
old_CE2,Constant-5L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Age-5L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Skip-5L,50272,29704,331.47855665181413,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.2457447718707,0.0,58639.2437499998,2.0173429042561293,1455.5346434733433,0.10971344189741561,0.35601895642574016,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33732329829095015,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.08387608100674514,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.3000161521205998,1.0,1808,-0.029726516052318668,0.982722012344775,1815
old_CE2,Constant-10L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Age-10L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,Skip-10L,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
