overlay,level,k,policy,family,promise_s,bmax_or_skip,sigma_s,bound_abs_tight_s,bound_abs_old_s,max_wait_s,ratio_max_wait_over_tight,shift_per_job_s,min_slack_old_s,min_slack_tight_s,per_job_violations_tight,needs_rerun
2,0,8,FCFS,fcfs,0.0,,3123.856186,442.982023,442.98202325,379.761467,0.8573,0.0,41.86820225,41.868202,0,False
2,0,8,Guard(300),work,300.0,B_max=1080,3123.856186,637.982023,742.98202325,552.816936,0.8665,105.0,173.479847625,68.479848,0,False
2,0,8,Guard-age(300),work,300.0,B_max=1080,3123.856186,637.982023,742.98202325,552.816936,0.8665,105.0,173.479847625,68.479848,0,False
2,0,8,Guard-fixed(300),work,300.0,B_max=1080,3123.856186,637.982023,742.98202325,482.99078,0.7571,105.0,228.057922375,123.057922,0,False
2,0,8,Guard-queue(300),work,300.0,B_max=1080,3123.856186,637.982023,742.98202325,552.73359,0.8664,105.0,173.866681375,68.866681,0,False
2,0,8,Fixed(300),work,300.0,B_max=1080,3123.856186,637.982023,742.98202325,552.754922,0.8664,105.0,173.496161625,68.496162,0,False
2,0,8,Skip(300),skip,300.0,N=26,3123.856186,637.982023,742.98202325,380.480632,0.5964,52.5,300.849048,248.349048,0,False
2,0,8,Guard(600),work,600.0,B_max=3480,3123.856186,937.982023,1042.98202325,738.939095,0.7878,105.0,190.018766375,85.018766,0,False
2,0,8,Guard-age(600),work,600.0,B_max=3480,3123.856186,937.982023,1042.98202325,738.939095,0.7878,105.0,190.018766375,85.018766,0,False
2,0,8,Guard-fixed(600),work,600.0,B_max=3480,3123.856186,937.982023,1042.98202325,636.832736,0.6789,105.0,360.0739135,255.073914,0,False
2,0,8,Guard-queue(600),work,600.0,B_max=3480,3123.856186,937.982023,1042.98202325,738.968822,0.7878,105.0,186.966984875,81.966985,0,False
2,0,8,Fixed(600),work,600.0,B_max=3480,3123.856186,937.982023,1042.98202325,736.42478,0.7851,105.0,179.628821875,74.628822,0,False
2,0,8,Skip(600),skip,600.0,N=66,3123.856186,937.982023,1042.98202325,381.513274,0.4067,52.5,589.9833075,537.483308,0,False
2,0,8,Guard(1200),work,1200.0,B_max=8280,3123.856186,1537.982023,1642.98202325,772.169298,0.5021,105.0,680.6602535,575.660253,0,False
2,0,8,Guard-queue(1200),work,1200.0,B_max=8280,3123.856186,1537.982023,1642.98202325,772.169298,0.5021,105.0,680.6602535,575.660253,0,False
2,0,8,Guard-fixed(1200),work,1200.0,B_max=8280,3123.856186,1537.982023,1642.98202325,782.959728,0.5091,105.0,715.540718375,610.540718,0,False
2,0,8,Guard-age(1200),work,1200.0,B_max=8280,3123.856186,1537.982023,1642.98202325,973.575028,0.633,105.0,436.206495875,331.206496,0,False
2,0,8,Fixed(1200),work,1200.0,B_max=8280,3123.856186,1537.982023,1642.98202325,963.406231,0.6264,105.0,397.48526975,292.48527,0,False
