[a] tight absolute bound, per (overlay, level, policy)
  ov       0 lv 2 k=4 Skip(600)                    N=34 bound   2113.6 s (old   2203.6) max wait   1546.8 ratio 0.7318 min slack   499.62 viol 0
  ov       0 lv 2 k=4 Guard(1200)            B_max=4200 bound   2713.6 s (old   2803.6) max wait   2603.2 ratio 0.9593 min slack    57.28 viol 0
  ov       0 lv 2 k=4 Guard-queue(1200)      B_max=4200 bound   2713.6 s (old   2803.6) max wait   2603.2 ratio 0.9593 min slack    57.28 viol 0
  ov       0 lv 2 k=4 Guard-fixed(1200)      B_max=4200 bound   2713.6 s (old   2803.6) max wait   2051.9 ratio 0.7562 min slack   590.07 viol 0
  ov       0 lv 2 k=4 Guard-age(1200)        B_max=4200 bound   2713.6 s (old   2803.6) max wait   2605.0 ratio 0.9600 min slack    57.28 viol 0
  ov       0 lv 2 k=4 Fixed(1200)            B_max=4200 bound   2713.6 s (old   2803.6) max wait   2603.7 ratio 0.9595 min slack    47.99 viol 0
  ov       0 lv 2 k=4 Skip(1200)                   N=74 bound   2713.6 s (old   2803.6) max wait   1549.6 ratio 0.5710 min slack  1084.35 viol 0
  ov       1 lv 0 k=8 FCFS                              bound    421.3 s (old    421.3) max wait    352.7 ratio 0.8373 min slack    41.10 viol 0
  ov       1 lv 0 k=8 Guard(300)             B_max=1080 bound    616.3 s (old    721.3) max wait    508.1 ratio 0.8245 min slack    76.91 viol 0
  ov       1 lv 0 k=8 Guard-age(300)         B_max=1080 bound    616.3 s (old    721.3) max wait    508.1 ratio 0.8245 min slack    76.91 viol 0
  ov       1 lv 0 k=8 Guard-fixed(300)       B_max=1080 bound    616.3 s (old    721.3) max wait    461.7 ratio 0.7492 min slack   129.14 viol 0
  ov       1 lv 0 k=8 Guard-queue(300)       B_max=1080 bound    616.3 s (old    721.3) max wait    500.5 ratio 0.8122 min slack    74.79 viol 0
  ov       1 lv 0 k=8 Fixed(300)             B_max=1080 bound    616.3 s (old    721.3) max wait    499.5 ratio 0.8105 min slack    74.79 viol 0
  ov       1 lv 0 k=8 Skip(300)                    N=26 bound    616.3 s (old    721.3) max wait    353.8 ratio 0.5740 min slack   254.77 viol 0
  ov       1 lv 0 k=8 Guard(600)             B_max=3480 bound    916.3 s (old   1021.3) max wait    781.4 ratio 0.8528 min slack    83.21 viol 0
  ov       1 lv 0 k=8 Guard-age(600)         B_max=3480 bound    916.3 s (old   1021.3) max wait    781.4 ratio 0.8528 min slack    83.21 viol 0
  ov       1 lv 0 k=8 Guard-fixed(600)       B_max=3480 bound    916.3 s (old   1021.3) max wait    615.3 ratio 0.6715 min slack   261.35 viol 0
  ov       1 lv 0 k=8 Guard-queue(600)       B_max=3480 bound    916.3 s (old   1021.3) max wait    797.0 ratio 0.8698 min slack    80.88 viol 0
  ov       1 lv 0 k=8 Fixed(600)             B_max=3480 bound    916.3 s (old   1021.3) max wait    793.2 ratio 0.8657 min slack    79.56 viol 0
  ov       1 lv 0 k=8 Skip(600)                    N=66 bound    916.3 s (old   1021.3) max wait    355.1 ratio 0.3875 min slack   529.50 viol 0
  ov       1 lv 0 k=8 Guard(1200)            B_max=8280 bound   1516.3 s (old   1621.3) max wait   1015.6 ratio 0.6698 min slack   271.20 viol 0
  ov       1 lv 0 k=8 Guard-queue(1200)      B_max=8280 bound   1516.3 s (old   1621.3) max wait   1015.6 ratio 0.6698 min slack   271.20 viol 0
  ov       1 lv 0 k=8 Guard-fixed(1200)      B_max=8280 bound   1516.3 s (old   1621.3) max wait    847.2 ratio 0.5588 min slack   614.80 viol 0
  ov       1 lv 0 k=8 Guard-age(1200)        B_max=8280 bound   1516.3 s (old   1621.3) max wait    977.6 ratio 0.6448 min slack   316.73 viol 0
  ov       1 lv 0 k=8 Fixed(1200)            B_max=8280 bound   1516.3 s (old   1621.3) max wait   1159.5 ratio 0.7647 min slack   101.05 viol 0
  ov       1 lv 0 k=8 Skip(1200)                  N=146 bound   1516.3 s (old   1621.3) max wait    357.3 ratio 0.2356 min slack  1127.94 viol 0
  ov       1 lv 1 k=5 FCFS                              bound    905.7 s (old    905.7) max wait    850.5 ratio 0.9391 min slack    36.65 viol 0
  ov       1 lv 1 k=5 Guard(300)              B_max=720 bound   1109.7 s (old   1205.7) max wait    994.6 ratio 0.8963 min slack    69.17 viol 0
  ov       1 lv 1 k=5 Guard-age(300)          B_max=720 bound   1109.7 s (old   1205.7) max wait    994.6 ratio 0.8963 min slack    69.17 viol 0
  ov       1 lv 1 k=5 Guard-fixed(300)        B_max=720 bound   1109.7 s (old   1205.7) max wait    933.1 ratio 0.8409 min slack   110.66 viol 0
  ov       1 lv 1 k=5 Guard-queue(300)        B_max=720 bound   1109.7 s (old   1205.7) max wait    994.1 ratio 0.8958 min slack    65.82 viol 0
  ov       1 lv 1 k=5 Fixed(300)              B_max=720 bound   1109.7 s (old   1205.7) max wait    994.1 ratio 0.8958 min slack    61.77 viol 0
  ov       1 lv 1 k=5 Skip(300)                    N=17 bound   1109.7 s (old   1205.7) max wait    851.2 ratio 0.7671 min slack   238.18 viol 0
  ov       1 lv 1 k=5 Guard(600)             B_max=2220 bound   1409.7 s (old   1505.7) max wait   1292.4 ratio 0.9168 min slack    68.57 viol 0
  ov       1 lv 1 k=5 Guard-age(600)         B_max=2220 bound   1409.7 s (old   1505.7) max wait   1292.4 ratio 0.9168 min slack    68.57 viol 0
  ov       1 lv 1 k=5 Guard-fixed(600)       B_max=2220 bound   1409.7 s (old   1505.7) max wait   1095.6 ratio 0.7772 min slack   260.64 viol 0
  ov       1 lv 1 k=5 Guard-queue(600)       B_max=2220 bound   1409.7 s (old   1505.7) max wait   1297.8 ratio 0.9206 min slack    61.57 viol 0
  ov       1 lv 1 k=5 Fixed(600)             B_max=2220 bound   1409.7 s (old   1505.7) max wait   1297.8 ratio 0.9206 min slack    64.01 viol 0
  ov       1 lv 1 k=5 Skip(600)                    N=42 bound   1409.7 s (old   1505.7) max wait    852.4 ratio 0.6047 min slack   521.06 viol 0
  ov       1 lv 1 k=5 Guard(1200)            B_max=5220 bound   2009.7 s (old   2105.7) max wait   1897.9 ratio 0.9444 min slack    65.53 viol 0
  ov       1 lv 1 k=5 Guard-queue(1200)      B_max=5220 bound   2009.7 s (old   2105.7) max wait   1897.9 ratio 0.9444 min slack    65.53 viol 0
  ov       1 lv 1 k=5 Guard-fixed(1200)      B_max=5220 bound   2009.7 s (old   2105.7) max wait   1389.4 ratio 0.6914 min slack   599.89 viol 0
  ov       1 lv 1 k=5 Guard-age(1200)        B_max=5220 bound   2009.7 s (old   2105.7) max wait   1899.4 ratio 0.9451 min slack    64.70 viol 0
  ov       1 lv 1 k=5 Fixed(1200)            B_max=5220 bound   2009.7 s (old   2105.7) max wait   1899.4 ratio 0.9451 min slack    64.24 viol 0
  ov       1 lv 1 k=5 Skip(1200)                   N=92 bound   2009.7 s (old   2105.7) max wait    854.5 ratio 0.4252 min slack  1091.52 viol 0
  ov       1 lv 2 k=4 FCFS                              bound   1331.5 s (old   1331.5) max wait   1285.3 ratio 0.9653 min slack    33.66 viol 0
  ov       1 lv 2 k=4 Guard(300)              B_max=600 bound   1541.5 s (old   1631.5) max wait   1435.7 ratio 0.9314 min slack    47.54 viol 0
  ov       1 lv 2 k=4 Guard-age(300)          B_max=600 bound   1541.5 s (old   1631.5) max wait   1435.7 ratio 0.9314 min slack    47.54 viol 0
  ov       1 lv 2 k=4 Guard-fixed(300)        B_max=600 bound   1541.5 s (old   1631.5) max wait   1368.1 ratio 0.8875 min slack   113.49 viol 0
  ov       1 lv 2 k=4 Guard-queue(300)        B_max=600 bound   1541.5 s (old   1631.5) max wait   1435.7 ratio 0.9314 min slack    47.56 viol 0
  ov       1 lv 2 k=4 Fixed(300)              B_max=600 bound   1541.5 s (old   1631.5) max wait   1435.5 ratio 0.9312 min slack    47.56 viol 0
  ov       1 lv 2 k=4 Skip(300)                    N=14 bound   1541.5 s (old   1631.5) max wait   1286.3 ratio 0.8344 min slack   234.63 viol 0
  ov       1 lv 2 k=4 Guard(600)             B_max=1800 bound   1841.5 s (old   1931.5) max wait   1735.6 ratio 0.9425 min slack    47.85 viol 0
  ov       1 lv 2 k=4 Guard-age(600)         B_max=1800 bound   1841.5 s (old   1931.5) max wait   1735.6 ratio 0.9425 min slack    47.85 viol 0
  ov       1 lv 2 k=4 Guard-fixed(600)       B_max=1800 bound   1841.5 s (old   1931.5) max wait   1530.7 ratio 0.8312 min slack   252.84 viol 0
  ov       1 lv 2 k=4 Guard-queue(600)       B_max=1800 bound   1841.5 s (old   1931.5) max wait   1735.6 ratio 0.9425 min slack    47.85 viol 0
  ov       1 lv 2 k=4 Fixed(600)             B_max=1800 bound   1841.5 s (old   1931.5) max wait   1735.6 ratio 0.9425 min slack    49.59 viol 0
  ov       1 lv 2 k=4 Skip(600)                    N=34 bound   1841.5 s (old   1931.5) max wait   1287.5 ratio 0.6991 min slack   506.62 viol 0
  ov       1 lv 2 k=4 Guard(1200)            B_max=4200 bound   2441.5 s (old   2531.5) max wait   2350.0 ratio 0.9625 min slack    61.64 viol 0
  ov       1 lv 2 k=4 Guard-queue(1200)      B_max=4200 bound   2441.5 s (old   2531.5) max wait   2350.0 ratio 0.9625 min slack    61.64 viol 0
  ov       1 lv 2 k=4 Guard-fixed(1200)      B_max=4200 bound   2441.5 s (old   2531.5) max wait   1793.1 ratio 0.7344 min slack   597.11 viol 0
  ov       1 lv 2 k=4 Guard-age(1200)        B_max=4200 bound   2441.5 s (old   2531.5) max wait   2334.6 ratio 0.9562 min slack    59.27 viol 0
  ov       1 lv 2 k=4 Fixed(1200)            B_max=4200 bound   2441.5 s (old   2531.5) max wait   2348.4 ratio 0.9619 min slack    59.57 viol 0
  ov       1 lv 2 k=4 Skip(1200)                   N=74 bound   2441.5 s (old   2531.5) max wait   1290.2 ratio 0.5285 min slack  1040.13 viol 0
  ov       2 lv 0 k=8 FCFS                              bound    443.0 s (old    443.0) max wait    379.8 ratio 0.8573 min slack    41.87 viol 0
  ov       2 lv 0 k=8 Guard(300)             B_max=1080 bound    638.0 s (old    743.0) max wait    552.8 ratio 0.8665 min slack    68.48 viol 0
  ov       2 lv 0 k=8 Guard-age(300)         B_max=1080 bound    638.0 s (old    743.0) max wait    552.8 ratio 0.8665 min slack    68.48 viol 0
  ov       2 lv 0 k=8 Guard-fixed(300)       B_max=1080 bound    638.0 s (old    743.0) max wait    483.0 ratio 0.7571 min slack   123.06 viol 0
  ov       2 lv 0 k=8 Guard-queue(300)       B_max=1080 bound    638.0 s (old    743.0) max wait    552.7 ratio 0.8664 min slack    68.87 viol 0
  ov       2 lv 0 k=8 Fixed(300)             B_max=1080 bound    638.0 s (old    743.0) max wait    552.8 ratio 0.8664 min slack    68.50 viol 0
  ov       2 lv 0 k=8 Skip(300)                    N=26 bound    638.0 s (old    743.0) max wait    380.5 ratio 0.5964 min slack   248.35 viol 0
  ov       2 lv 0 k=8 Guard(600)             B_max=3480 bound    938.0 s (old   1043.0) max wait    738.9 ratio 0.7878 min slack    85.02 viol 0
  ov       2 lv 0 k=8 Guard-age(600)         B_max=3480 bound    938.0 s (old   1043.0) max wait    738.9 ratio 0.7878 min slack    85.02 viol 0
  ov       2 lv 0 k=8 Guard-fixed(600)       B_max=3480 bound    938.0 s (old   1043.0) max wait    636.8 ratio 0.6789 min slack   255.07 viol 0
  ov       2 lv 0 k=8 Guard-queue(600)       B_max=3480 bound    938.0 s (old   1043.0) max wait    739.0 ratio 0.7878 min slack    81.97 viol 0
  ov       2 lv 0 k=8 Fixed(600)             B_max=3480 bound    938.0 s (old   1043.0) max wait    736.4 ratio 0.7851 min slack    74.63 viol 0
  ov       2 lv 0 k=8 Skip(600)                    N=66 bound    938.0 s (old   1043.0) max wait    381.5 ratio 0.4067 min slack   537.48 viol 0
  ov       2 lv 0 k=8 Guard(1200)            B_max=8280 bound   1538.0 s (old   1643.0) max wait    772.2 ratio 0.5021 min slack   575.66 viol 0
  ov       2 lv 0 k=8 Guard-queue(1200)      B_max=8280 bound   1538.0 s (old   1643.0) max wait    772.2 ratio 0.5021 min slack   575.66 viol 0
  ov       2 lv 0 k=8 Guard-fixed(1200)      B_max=8280 bound   1538.0 s (old   1643.0) max wait    783.0 ratio 0.5091 min slack   610.54 viol 0
  ov       2 lv 0 k=8 Guard-age(1200)        B_max=8280 bound   1538.0 s (old   1643.0) max wait    973.6 ratio 0.6330 min slack   331.21 viol 0
  ov       2 lv 0 k=8 Fixed(1200)            B_max=8280 bound   1538.0 s (old   1643.0) max wait    963.4 ratio 0.6264 min slack   292.49 viol 0
  ov       2 lv 0 k=8 Skip(1200)                  N=146 bound   1538.0 s (old   1643.0) max wait    383.8 ratio 0.2496 min slack  1121.96 viol 0
  ov       2 lv 1 k=5 FCFS                              bound    866.9 s (old    866.9) max wait    806.7 ratio 0.9306 min slack    36.67 viol 0
  ov       2 lv 1 k=5 Guard(300)              B_max=720 bound   1070.9 s (old   1166.9) max wait    952.3 ratio 0.8893 min slack    58.39 viol 0
