overlay,level,k,policy,n,sigma_s,bound_abs_s,bound_prearrival_s,max_wait_s,ratio_max_wait_over_bound_abs,per_job_violations,ties,min_slack_s,promise_named_s,promise_own_s,violations_own_constant,bound_kind,sim_seconds
0,2,4,Skip(1200),17634760,6234.492949,2803.62323725,2802.58424775,1549.609457,0.5527167261318504,0,0,1129.3463135,1200.0,1200.0,0,non-strict,9.6
1,0,8,FCFS,17634760,2950.075879,421.259484875,420.97223325,352.739664,0.8373453338496775,0,0,41.099574125,0.0,0.0,0,non-strict,8.4
1,0,8,SJF,17634760,2950.075879,,,960.306242,,,,,,,,none,8.6
1,0,8,SPJF-E,17634760,2950.075879,,,1182.026317,,,,,,,,none,8.4
1,0,8,Aging(600),17634760,2950.075879,,,410.891895,,,,,,,,none,10.2
1,0,8,Guard(300),17634760,2950.075879,721.259484875,720.97223325,508.104294,0.7044680931829389,0,0,181.90949275,300.0,300.0,0,strict,19.4
1,0,8,Guard-age(300),17634760,2950.075879,721.259484875,720.97223325,508.104294,0.7044680931829389,0,0,181.90949275,300.0,300.0,0,strict,19.4
1,0,8,Guard-fixed(300),17634760,2950.075879,721.259484875,720.97223325,461.718801,0.640156296980995,0,0,234.135678375,300.0,300.0,0,strict,19.8
1,0,8,Guard-queue(300),17634760,2950.075879,721.259484875,720.97223325,500.5395,0.6939797818904905,0,0,179.787800375,300.0,300.0,0,strict,20.4
1,0,8,Fixed(300),17634760,2950.075879,721.259484875,720.97223325,499.469871,0.6924967802490142,0,0,179.787800375,300.0,300.0,0,strict,19.7
1,0,8,Skip(300),17634760,2950.075879,721.259484875,720.97223325,353.752877,0.4904654765979378,0,0,307.2730555,300.0,300.0,0,non-strict,10.7
1,0,8,Guard(600),17634760,2950.075879,1021.259484875,1020.97223325,781.390139,0.7651239969591475,0,0,188.211956375,600.0,600.0,0,strict,19.7
1,0,8,Guard-age(600),17634760,2950.075879,1021.259484875,1020.97223325,781.390139,0.7651239969591475,0,0,188.211956375,600.0,600.0,0,strict,19.7
1,0,8,Guard-fixed(600),17634760,2950.075879,1021.259484875,1020.97223325,615.282862,0.6024745631374081,0,0,366.35099925,600.0,600.0,0,strict,19.1
1,0,8,Guard-queue(600),17634760,2950.075879,1021.259484875,1020.97223325,796.98746,0.7803966296553414,0,0,185.876621875,600.0,600.0,0,strict,19.6
1,0,8,Fixed(600),17634760,2950.075879,1021.259484875,1020.97223325,793.2355,0.7767227739354512,0,0,184.563528625,600.0,600.0,0,strict,19.3
1,0,8,Skip(600),17634760,2950.075879,1021.259484875,1020.97223325,355.067576,0.3476761599364333,0,0,581.996047,600.0,600.0,0,non-strict,10.4
1,0,8,Guard(1200),17634760,2950.075879,1621.259484875,1620.97223325,1015.584804,0.6264171858203822,0,0,376.203163625,1200.0,1200.0,0,strict,20.2
1,0,8,Guard-queue(1200),17634760,2950.075879,1621.259484875,1620.97223325,1015.584804,0.6264171858203822,0,0,376.203163625,1200.0,1200.0,0,strict,20.2
1,0,8,Guard-fixed(1200),17634760,2950.075879,1621.259484875,1620.97223325,847.230096,0.5225752594843397,0,0,719.800874875,1200.0,1200.0,0,strict,20.6
1,0,8,Guard-age(1200),17634760,2950.075879,1621.259484875,1620.97223325,977.610965,0.6029947544611431,0,0,421.7264265,1200.0,1200.0,0,strict,20.8
1,0,8,Fixed(1200),17634760,2950.075879,1621.259484875,1620.97223325,1159.528441,0.7152022559111815,0,0,206.046449625,1200.0,1200.0,0,strict,23.1
