trace,reps,rho,metric,policy,k,wait,gain,lo,hi,fcfs_minus_sjf
validpre,"0,1",0.8,p99dl,SPJF-gamma,5.0,48.852203170806156,0.8623059756021103,0.8379555193769403,0.8746700149526959,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-hurdle,5.0,48.89042914897203,0.8619378746295014,0.8379200661910374,0.875193621021803,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-q50,5.0,55.57374740615485,0.7870840332739742,0.7550187762111913,0.8088568949878038,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-q90,5.0,52.176212232410855,0.8251855159075154,0.7894587546408842,0.8417112382019946,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-q99,5.0,50.905795829892135,0.8393231342949794,0.8148220095146539,0.8545020100769913,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-phv,5.0,48.85985290288916,0.8622818291043388,0.8371155307085406,0.8757605765125824,89.11696223631458
validpre,"0,1",0.8,p99dl,SPJF-logvar,5.0,49.21163552954785,0.8583057658990421,0.8315842840345967,0.8729473710991181,89.11696223631458
validpre,"0,1",0.8,mean,FCFS,5.0,3.774841244377865,0.0,0.0,0.0,2.701753403582261
validpre,"0,1",0.8,mean,SJF-ref,5.0,1.0730878407956044,1.0,1.0,1.0,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-M4,5.0,1.4088626049283977,0.8756051651729203,0.8258883493021513,0.9013933649552512,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-M4refit,5.0,1.4091864175170055,0.8754839090592442,0.8252742781588035,0.9010974311136163,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-l2raw,5.0,1.4410676391662436,0.8636543143704443,0.8063014793362762,0.8934572260585623,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-tweedie,5.0,1.3859099110228101,0.8840980338844477,0.8390899103361066,0.9081046153282103,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-gamma,5.0,1.3906175286137574,0.8823469802722902,0.837422351639982,0.9062554678663641,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-hurdle,5.0,1.3886779107797325,0.8830828959414965,0.8328628080354412,0.9090592863576105,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-q50,5.0,1.4801646272456273,0.8492047821425381,0.8014002543255226,0.8760489631507322,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-q90,5.0,1.461769859728609,0.8559770596000503,0.7987279969333739,0.8850909158386427,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-q99,5.0,1.4675816209591424,0.8538582938056256,0.798198684478903,0.8846966918581789,2.701753403582261
validpre,"0,1",0.8,mean,SPJF-phv,5.0,1.3940745387204,0.8810609539164846,0.8319160730801962,0.9060868613370702,2.701753403582261
