trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
primary,"0,1",0.5,mean,SPJF-l2raw - SPJF-M4,-0.013953342607349373,-0.022071677143942894,-0.009126949548364561,True,SPJF-M4 better,0.2382488684626578,0.2325284961885692,2.4600736545639004
primary,"0,1",0.5,mean,SPJF-gamma - SPJF-M4,0.0016767820790136723,-0.0019937393944369276,0.008749071005854857,False,unresolved,0.23184546446946205,0.2325284961885692,-0.2937410813310513
primary,"0,1",0.5,mean,SPJF-hurdle - SPJF-M4,-0.0029854665851066775,-0.005865681139548234,0.0008618124264796191,False,unresolved,0.23375485043795474,0.2325284961885692,0.5273995529524432
primary,"0,1",0.5,mean,SPJF-q50 - SPJF-M4,-0.011750209008283163,-0.019553663196229826,-0.006345681109529495,True,SPJF-M4 better,0.23734282601173765,0.2325284961885692,2.0704257336547136
primary,"0,1",0.5,mean,SPJF-q90 - SPJF-M4,-0.017531486884514003,-0.024315376266373808,-0.013051656825757119,True,SPJF-M4 better,0.23969480658710923,0.2325284961885692,3.081906310841368
primary,"0,1",0.5,mean,SPJF-q99 - SPJF-M4,-0.030734205592758856,-0.05097389632811317,-0.01957279246118605,True,SPJF-M4 better,0.2451061411727855,0.2325284961885692,5.4090768187037455
primary,"0,1",0.5,mean,SPJF-phv - SPJF-M4,-0.006466943885009013,-0.009123136303463678,-0.0022778310339943474,True,SPJF-M4 better,0.23518216452704585,0.2325284961885692,1.1412228531012674
primary,"0,1",0.5,mean,SPJF-logvar - SPJF-M4,-0.0051855908823620345,-0.009209989163222552,-0.0025697617491376662,True,SPJF-M4 better,0.23465184133433045,0.2325284961885692,0.913154809223612
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.02 - SPJF-M4,-0.19636737773311042,-0.2206398678874299,-0.17887800979941904,True,SPJF-M4 better,0.3128375269272109,0.2325284961885692,34.537285560697484
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.02 - SPJF-M4,0.005400664352220197,0.003543084863996235,0.007194287398373874,True,2CLASS-SPJF-tau0.02 better,0.23032845463058838,0.2325284961885692,-0.9461384707862595
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.02 - SPJF-M4,0.006234923789351643,0.0021610956502214314,0.012152334034269083,True,2CLASS-TWEEDIE-tau0.02 better,0.22997577080309076,0.2325284961885692,-1.0978118498681975
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.05 - SPJF-M4,-0.15285869234169402,-0.1785592088581348,-0.14083344076389795,True,SPJF-M4 better,0.295055877179189,0.2325284961885692,26.89020142284548
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.05 - SPJF-M4,0.001324765071078704,-0.00031924342218316856,0.003798993105582952,False,unresolved,0.23198848486598767,0.2325284961885692,-0.23223447079948484
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.05 - SPJF-M4,0.001913852890877643,-0.001899740369198094,0.006594934501827458,False,unresolved,0.23175731647740605,0.2325284961885692,-0.33164954997074864
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.1 - SPJF-M4,-0.14337749909316255,-0.1709215760933778,-0.13142517384903665,True,SPJF-M4 better,0.29119017350780957,0.2325284961885692,25.22773693580706
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.1 - SPJF-M4,0.0015815798102241097,-0.0002958211339216782,0.0038943028081264677,False,unresolved,0.2318851916553165,0.2325284961885692,-0.2766562136672432
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.1 - SPJF-M4,-0.0007947145825093482,-0.004169091532377189,0.004253603746218144,False,unresolved,0.2328575696392762,0.2325284961885692,0.14151962279932784
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.2 - SPJF-M4,-0.1316589431268359,-0.16156094785327704,-0.11839783804335792,True,SPJF-M4 better,0.28639576901098246,0.2325284961885692,23.16588018473639
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.2 - SPJF-M4,0.0015452842494961816,2.6872087103804742e-05,0.0031451849725362218,True,2CLASS-SPJF-tau0.2 better,0.23189937434176375,0.2325284961885692,-0.2705568810350258
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.2 - SPJF-M4,0.0009641370596523702,-0.002884280756591509,0.0064890036656504195,False,unresolved,0.23213759831573094,0.2325284961885692,-0.16810751337816604
primary,"0,1",0.5,mean,2CLASS-FCFS-tau0.4 - SPJF-M4,-0.1423017678773022,-0.1788792267213303,-0.12512107016590776,True,SPJF-M4 better,0.29074006105785877,0.2325284961885692,25.034163908273356
primary,"0,1",0.5,mean,2CLASS-SPJF-tau0.4 - SPJF-M4,-0.0005890478394484644,-0.002661337229552055,0.0005894456009524483,False,unresolved,0.23277235591025558,0.2325284961885692,0.10487304811391031
primary,"0,1",0.5,mean,2CLASS-TWEEDIE-tau0.4 - SPJF-M4,0.0008788754019718459,-0.0031431295561780343,0.004907804841971673,False,unresolved,0.2321791937409968,0.2325284961885692,-0.15021920035517902
primary,"0,1",0.8,p99dl,FCFS - SPJF-M4,-0.8647554338136918,-0.883533515125802,-0.8412594110939348,True,SPJF-M4 better,110.585805236921,43.65852159373466,153.2971827721966
primary,"0,1",0.8,p99dl,SJF-ref - SPJF-M4,0.1352445661863082,0.11646648487419793,0.15874058890606524,True,SJF-ref better,33.19971104338768,43.65852159373466,-23.955943006205466
primary,"0,1",0.8,p99dl,SPJF-tweedie - SPJF-M4,0.014440681134324507,0.003996960595149141,0.021566605710646343,True,SPJF-tweedie better,42.53460360951729,43.65852159373466,-2.5743381662714437
primary,"0,1",0.8,p99dl,ORACLE-on-true-heavy - SPJF-M4,0.11546842552712644,0.10038040037626395,0.13285198698063105,True,ORACLE-on-true-heavy better,34.735017073527025,43.65852159373466,-20.43931904805551
primary,"0,1",0.8,p99dl,ORACLE-on-true-light - SPJF-M4,0.06251059838471806,0.05298411173450158,0.07557301204412126,True,ORACLE-on-true-light better,38.824188087135624,43.65852159373466,-11.073058202898016
primary,"0,1",0.8,p99dl,ORACLE-top0.1pct-under - SPJF-M4,0.03902459601787378,0.03141495715299807,0.043704449086519534,True,ORACLE-top0.1pct-under better,40.63939534239472,43.65852159373466,-6.915319486615894
primary,"0,1",0.8,p99dl,ORACLE-top0.1pct-over - SPJF-M4,0.001937970599097727,0.0010583920168474926,0.003365052263210024,True,ORACLE-top0.1pct-over better,43.507792014628684,43.65852159373466,-0.345246640526665
primary,"0,1",0.8,p99dl,ORACLE-top1.0pct-under - SPJF-M4,0.11480100183541952,0.10028384702491493,0.1309267675703009,True,ORACLE-top1.0pct-under better,34.78706470727924,43.65852159373466,-20.320103756625013
primary,"0,1",0.8,p99dl,ORACLE-top1.0pct-over - SPJF-M4,0.03109238208372589,0.02316348491943567,0.043262087785889636,True,ORACLE-top1.0pct-over better,41.251994083635594,43.65852159373466,-5.512159876811823
primary,"0,1",0.8,p99dl,SPJF-M4refit - SPJF-M4,-0.0005066616543967228,-0.0013499533325583596,0.0007415088919271663,False,unresolved,43.69687170907879,43.65852159373466,0.08784107648215388
primary,"0,1",0.8,p99dl,SPJF-l2raw - SPJF-M4,-0.012056856925111381,-0.025005636319583448,-0.005234146960723088,True,SPJF-M4 better,44.590920884534796,43.65852159373466,2.1356639133972437
primary,"0,1",0.8,p99dl,SPJF-gamma - SPJF-M4,0.010122681987201787,0.0010988981157088434,0.015691313232914176,True,SPJF-gamma better,42.87646788135187,43.65852159373466,-1.7912968278225463
primary,"0,1",0.8,p99dl,SPJF-hurdle - SPJF-M4,0.010007026836499566,-0.0021320264045452896,0.017851175510840128,False,unresolved,42.878610444441506,43.65852159373466,-1.786389279395753
