pool,queue,queue_name,segment,policy,n_dispatch,n_forced,fired_fraction,fired_fraction_queue_weighted,scope
CE2,3,long,1,Constant-5L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,Age-5L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,Constant-10L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,3,long,1,Age-10L,6939,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,FCFS,260,260,1.0,1.0,"whole segment, FCFS prefix included"
CE2,4,day,0,SJF,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,SPJF-E,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Constant-3.5L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Age-3.5L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Constant-5L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Age-5L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Constant-10L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,0,Age-10L,260,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,1,FCFS,8035,8035,1.0,1.0,"whole segment, FCFS prefix included"
CE2,4,day,1,SJF,8035,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,1,SPJF-E,8035,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,4,day,1,Constant-3.5L,8035,377,0.04691972619788426,0.21294224525159403,"whole segment, FCFS prefix included"
CE2,4,day,1,Age-3.5L,8035,377,0.04691972619788426,0.21294224525159403,"whole segment, FCFS prefix included"
CE2,4,day,1,Constant-5L,8035,248,0.03086496577473553,0.13733980942788607,"whole segment, FCFS prefix included"
CE2,4,day,1,Age-5L,8035,262,0.032607342874922216,0.1395863120770184,"whole segment, FCFS prefix included"
CE2,4,day,1,Constant-10L,8035,59,0.007342874922215308,0.0361682479368982,"whole segment, FCFS prefix included"
CE2,4,day,1,Age-10L,8035,61,0.0075917859365276915,0.03548863260125814,"whole segment, FCFS prefix included"
CE2,5,infinite,0,FCFS,898,898,1.0,1.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,SJF,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,SPJF-E,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Constant-3.5L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Age-3.5L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Constant-5L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Age-5L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Constant-10L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,0,Age-10L,898,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,FCFS,9137,9137,1.0,1.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,SJF,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,SPJF-E,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Constant-3.5L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Age-3.5L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Constant-5L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Age-5L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Constant-10L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
CE2,5,infinite,1,Age-10L,9137,0,0.0,0.0,"whole segment, FCFS prefix included"
