trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,0,mean,red_pct,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,38.70122418743085,27.271374877474234,45.45016547491144,True,CAP-G1200 better
primary,0,mean,gain,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.005413944685272731,0.00470091286095788,0.006432834771137476,True,SKIP-G1200 better
primary,0,mean,red_pct,SKIP-G1200 - SKIPC-G1200,"finite skip: dispatch vs completion charge, G = 1200 s",0.3702325577963457,0.3172090761148164,0.41462842032721686,True,SKIP-G1200 better
primary,0,mean,gain,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,0.12182971629392969,0.09207578434631866,0.13897883244628212,True,CAP-G600-reversed better
primary,0,mean,red_pct,CAP-G600-reversed - SPJF-reversed,guard vs unguarded under the reversed predictor,8.334783908265138,5.9425414594455335,9.907608663599945,True,CAP-G600-reversed better
primary,0,mean,gain,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-0.041661528857537156,-0.051856770988874354,-0.019442687817189882,True,SPJF-random better
primary,0,mean,red_pct,CAP-G600-random - SPJF-random,guard vs unguarded under the random predictor,-2.8520104763439775,-3.7180140208266805,-1.2876440239316238,True,SPJF-random better
primary,0,mean,gain,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,0.04937975390986016,0.027766197215698108,0.06130304366596042,True,CAP-G600-top1short better
primary,0,mean,red_pct,CAP-G600-top1short - SPJF-top1short,guard vs unguarded under the top1short predictor,3.3832971962924745,1.8143733549853196,4.372353868379319,True,CAP-G600-top1short better
primary,1,p99dl,gain,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.01186184900127607,0.005196793244882494,0.018466840991838953,True,SPJF-tweedie better
primary,1,p99dl,red_pct,SPJF-tweedie - SPJF-M4,ranking score: Tweedie vs current log M4,0.8496475825407899,0.3562004403892866,1.3386096945467167,True,SPJF-tweedie better
primary,1,p99dl,gain,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.00016551736984093957,-0.0008605422342868346,0.0006450749346051024,False,unresolved
primary,1,p99dl,red_pct,SPJF-M4refit - SPJF-M4,"refit-noise control: same score, refit",-0.011331745116656577,-0.0597717394848031,0.04489058611962309,False,unresolved
primary,1,p99dl,gain,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.006678685122332717,0.00291478579247485,0.011091455045849683,True,SPJF-r1s better
primary,1,p99dl,red_pct,SPJF-r1s - SPJF-tweedie,R1S-Tweedie vs Tweedie,0.4769179575043907,0.20113465039237735,0.7803611682587186,True,SPJF-r1s better
primary,1,p99dl,gain,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.0071325898444924984,0.003149606676787825,0.011741780285558152,True,SPJF-r1s better
primary,1,p99dl,red_pct,SPJF-r1s - SPJF-tweedie_itr,R1S vs the Tweedie control on the same 90% of rows,0.5116357432623744,0.2201809502055699,0.8319830025392015,True,SPJF-r1s better
primary,1,p99dl,gain,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",0.4132655364996541,0.2777125853664149,0.4903959705192012,True,CAP-G300 better
primary,1,p99dl,red_pct,CAP-G300 - FIXSEL-G300,"capped relative vs the BEST FEASIBLE fixed budget, G = 300 s",29.684766437690186,18.878699301690908,36.632831797455715,True,CAP-G300 better
primary,1,p99dl,gain,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-0.03327976688977918,-0.04246959230849492,-0.02506291900482986,True,FIX-G300 better
primary,1,p99dl,red_pct,CAP-G300 - FIX-G300,capped relative vs B0 = Bmax at G = 300 s,-2.375189034746427,-2.9913272397085104,-1.8202866423294373,True,FIX-G300 better
primary,1,p99dl,gain,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-0.1565825337679465,-0.19706034346710907,-0.1314630836007515,True,SPJF-tweedie better
primary,1,p99dl,red_pct,CAP-G300 - SPJF-tweedie,"guard vs unguarded, G = 300 s",-11.225969253852718,-14.683554253445706,-8.978202819002032,True,SPJF-tweedie better
primary,1,p99dl,gain,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-0.882786095426409,-0.8973933165586835,-0.8555817188748785,True,SPJF-tweedie better
primary,1,p99dl,red_pct,SKIP-G300 - SPJF-tweedie,finite skip vs unguarded at G = 300 s,-63.37920776270464,-67.15449925923463,-57.5543234207861,True,SPJF-tweedie better
primary,1,p99dl,gain,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,0.7262035616584624,0.6862657513666983,0.7445039036800167,True,CAP-G300 better
primary,1,p99dl,red_pct,CAP-G300 - SKIP-G300,capped relative vs finite skip at G = 300 s,52.15323850885192,47.92169964881035,54.0239883918407,True,CAP-G300 better
primary,1,p99dl,gain,SKIP-G300 - SKIPC-G300,"finite skip: dispatch vs completion charge, G = 300 s",-0.0006415194537156947,-0.0011150425887660978,0.002005151502304978,False,unresolved
primary,1,p99dl,red_pct,SKIP-G300 - SKIPC-G300,"finite skip: dispatch vs completion charge, G = 300 s",-0.046277786755626465,-0.07953826150111143,0.1359112475094475,False,unresolved
primary,1,p99dl,gain,CAP-G600 - FIXSEL-G600,"capped relative vs the BEST FEASIBLE fixed budget, G = 600 s",0.07117276075404266,0.052961233306052576,0.1044476657898146,True,CAP-G600 better
primary,1,p99dl,red_pct,CAP-G600 - FIXSEL-G600,"capped relative vs the BEST FEASIBLE fixed budget, G = 600 s",5.117439873255307,3.6080056528922233,7.876758905636824,True,CAP-G600 better
primary,1,p99dl,gain,CAP-G600 - FIX-G600,capped relative vs B0 = Bmax at G = 600 s,-0.0046901197920909965,-0.009442371784824799,-0.0013082530394287945,True,FIX-G600 better
primary,1,p99dl,red_pct,CAP-G600 - FIX-G600,capped relative vs B0 = Bmax at G = 600 s,-0.3341352483694777,-0.6713546513070444,-0.09600405482044658,True,FIX-G600 better
primary,1,p99dl,gain,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-0.047543696788297396,-0.05841106165483391,-0.03698967137138216,True,SPJF-tweedie better
primary,1,p99dl,red_pct,CAP-G600 - SPJF-tweedie,"guard vs unguarded, G = 600 s",-3.4059373147073657,-4.3002219475861985,-2.5511479675978976,True,SPJF-tweedie better
primary,1,p99dl,gain,SKIP-G600 - SPJF-tweedie,finite skip vs unguarded at G = 600 s,-0.8764698152659527,-0.8953489654456959,-0.8400281312751299,True,SPJF-tweedie better
primary,1,p99dl,red_pct,SKIP-G600 - SPJF-tweedie,finite skip vs unguarded at G = 600 s,-62.925981056866,-66.93285991297545,-56.54948573054738,True,SPJF-tweedie better
