rep,level,k,policy,G,guard,B0_base,eta,gap,red_pct,harm,w_p99_dl,used_over_allowed,feasible_cell
3,2,4.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.45184477073024853,35.44947515464695,194.4836902469397,137.66222462743517,0.7880653869112333,False
4,0,8.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.709355163620271,42.267209997319696,168.7411599010229,16.238846480250324,0.6350622053941091,False
4,1,5.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.7309583018964478,51.222929057142736,176.5809549242258,58.33327349603174,0.7215905729432901,False
4,2,4.0,CAP-G300-B30-e0.9,300.0,cap,30.0,0.9,0.4065240675729829,33.51557256481648,184.2343995720148,174.35126660853618,0.749526148935159,False
0,0,7.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.5120514593802857,28.738821599766126,93.02471324801444,33.357593285143295,0.4823503649897045,True
0,1,5.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.27167123156930356,19.352265375312314,97.153989225626,105.34782770335651,0.570675188094698,True
0,2,4.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.015398616189369746,1.2535102193314716,102.65260392427444,245.46095779895748,0.5702922440237469,True
1,0,8.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.5797558886535215,33.11291275319547,96.31179620325564,19.61227090239515,0.4939066471961828,True
1,1,5.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.30455425332580344,21.473923767608536,77.04561199247837,94.86786571562271,0.5421121235015571,True
1,2,4.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.0056937623708329665,0.4687211065385199,81.5246098190546,259.96224095940585,0.6195600686801804,True
2,0,8.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.6157473099002783,36.848409389127895,72.17901226878166,16.53888052195308,0.4322170921625235,True
2,1,5.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.33455503220983107,22.026691983887876,81.04129981994629,85.01758480519052,0.5398014623631713,True
2,2,4.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.02712521128503354,2.1364489837835623,81.28083181381226,207.92148760855176,0.5735733046299881,True
3,0,7.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.497475431954485,27.776415915913727,70.8393042087555,29.567493486702386,0.4643146174263071,True
3,1,5.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.2836381683908943,18.996423599726036,73.17740522325039,88.98475732713865,0.5344705579261626,True
3,2,4.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.02285874400431712,1.7933824404736602,83.60066185891628,209.43813359797,0.5873792996837033,True
4,0,8.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.5968351160062737,35.56265813766038,60.43549634516239,18.124675804674624,0.4462811684761292,True
4,1,5.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.28534034906504385,19.995625495159473,76.16190810501575,95.67850157171476,0.5993558286979634,True
4,2,4.0,CAP-G300-B120-e0,300.0,cap,120.0,0.0,0.019584125024902966,1.6145985336347537,101.64403854310513,258.0095824420446,0.6007993864516418,True
0,0,7.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6461633305504825,36.265832936938565,93.38233608007432,29.83417438477276,0.5905486038327217,True
0,1,5.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.5883503367399973,41.91062772630099,93.91389566659927,75.88048455625764,0.6214919476211072,True
0,2,4.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.3403848954967292,27.708720041075882,102.76180040836334,179.69941877067055,0.749438669482867,True
1,0,8.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6455241287829473,36.86928339118028,96.44778616726398,18.510848167538644,0.5332542312145233,True
1,1,5.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6157186464291153,43.41392422311545,105.7610867023468,68.36200782895082,0.6348959928254286,True
1,2,4.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.3893423174017213,32.05138359297364,104.95356148481368,177.47259743511677,0.7376254100104173,True
2,0,8.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6855553915299998,41.025961981242716,78.19726796448231,15.4448139667511,0.5855355610450109,True
2,1,5.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6321162916213869,41.61775945073525,83.60618667304516,63.656618056893336,0.6489905641973018,True
2,2,4.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.40660072039217954,32.02488219388858,122.56411573290823,144.42034309864005,0.740339366743962,True
3,0,7.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.6335219787115999,35.37254071709821,84.53365482389927,26.457728533446783,0.5814035606880983,True
3,1,5.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.5801857309410398,38.85744282583124,118.55851224064828,67.16685675233602,0.6253633700311184,True
3,2,4.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.33280102637619596,26.109899859850643,99.2831376194954,157.58005976878104,0.6907113256553808,True
4,0,8.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.658856589078039,39.258232317015654,74.40883812308311,17.08519959449768,0.6015731895466646,True
4,1,5.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.62478686256435,43.78281641228599,118.668151602149,67.2310223227736,0.6436701074739297,True
4,2,4.0,CAP-G300-B120-e0.25,300.0,cap,120.0,0.25,0.3873120013877446,31.931648143820635,101.64403854310513,178.50500966787212,0.7447129123906294,True
