level,predictor,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol
1,reversed,SKIP-N10,5,276.0,276.0,-0.6176427395307167,-0.394327274042254,156.3534250603998,179.82999801635742,161.48523092269895,1139.0544533580542,0.8500350324571817,0.651557963827382,0
1,reversed,FIX-B1200,5,396.0,396.0,-1.7135817578691224,-0.7797806984717727,239.12061602100732,315.4709763377905,298.9586466997862,1282.7792692035437,0.4093847050190674,0.7966438796408851,0
1,reversed,CAP-B30-e0.9-M1200,5,396.0,396.0,-1.6242022237914278,-0.7758426495166548,232.37052058577535,313.64563792943954,298.9586466997862,1282.7786688357592,0.4135851901581849,0.7920344392157564,0
1,reversed,CAP-B120-e0.75-M1200,5,396.0,396.0,-1.5080435657850262,-0.7694034448594809,223.59801986441215,315.4710569232702,298.9586466997862,1282.7794532626867,0.4190141961652787,0.7966440831395712,0
1,reversed,SKIP-N20,5,396.0,396.0,-0.8768527084920357,-0.535031916368231,175.92940569520007,259.7774233967066,188.5900363624096,1203.5562177598476,0.8301133087455687,0.6560035944361278,0
1,reversed,FIX-B3600,5,876.0,876.0,-1.4876326190314513,-1.0312043783384612,222.0565502211457,787.6789384633303,760.6993204802275,1670.2871022969484,0.1810759742490551,0.8991768703919295,0
1,reversed,CAP-B30-e0.9-M3600,5,876.0,876.0,-1.4368181008352496,-1.0103203810917571,218.2189508102836,787.673830807209,421.6250390708447,1670.2914532124996,0.1967712212055302,0.8991710397342568,0
1,reversed,REL-B120-e0.5,5,1383.8196176737547,360.0,-1.0009404434584366,-0.7948989450042635,185.30072388351013,1123.4155886396766,164.53273952007294,1852.8843359947205,0.3410260879309829,0.8135443782142553,0
1,reversed,REL-B30-e0.75,5,3719.458853021264,648.0,-1.1881265232053733,-0.9388218145708408,199.43733709678136,2313.9163411557674,265.68605148792267,1885.110785201192,0.1268677002210255,0.8057192663262981,0
1,reversed,SPJF,5,inf,inf,-1.434869698133682,-1.117559259394184,218.07180410251024,3387.890890568495,3387.890890568495,1989.774632588029,0.0,,-1
1,reversed,SJF-ref,5,inf,inf,1.0,1.0,34.18627589568497,2667.424100443721,774.8472412079573,3072.262211114168,0.0,,-1
1,reversed,FCFS,5,inf,inf,0.0,0.0,109.70798793956676,0.0,0.0,1022.8811564445496,1.0,,-1
1,top1short,FIX-B600,5,276.0,276.0,-1.1255162310895943,-0.4384302847570639,194.7089006446302,192.16800512373447,182.13123965263367,983.1023237258196,0.473632587383474,0.6962608881294727,0
1,top1short,CAP-B30-e0.5-M600,5,276.0,276.0,-0.8908812255768783,-0.4020078346990139,176.98886332288424,189.02388873696327,122.58561235666276,983.1026239991188,0.5206033612821306,0.6848691620904467,0
1,top1short,SKIP-N10,5,276.0,276.0,-0.4658386797216953,-0.2711562161205134,144.8889225684107,156.39370818436146,122.58561235666276,1005.998639434576,0.825605920318084,0.5666438702331937,0
1,top1short,FIX-B1200,5,396.0,396.0,-1.4805680428481962,-0.5491791054871772,221.52302133292184,326.2359631359577,298.1937887221575,989.0251566320658,0.3859841872556778,0.823828189737267,0
1,top1short,CAP-B30-e0.9-M1200,5,396.0,396.0,-1.4336300971263574,-0.5487997047308274,217.97818731218575,326.2359631359577,298.54805697500706,989.0238751471044,0.388900595502941,0.823828189737267,0
1,top1short,CAP-B120-e0.75-M1200,5,396.0,396.0,-1.3693079432121924,-0.5475098502814447,213.120468126238,326.22418524324894,299.3214299529791,989.0263631343842,0.3938795368437307,0.8237984475839619,0
1,top1short,SKIP-N20,5,396.0,396.0,-0.7101095521783001,-0.372166752074755,163.33667705878617,233.13809978961945,177.4272117316723,997.0916952490808,0.8066518164489208,0.5887325752263117,0
1,top1short,FIX-B3600,5,876.0,876.0,-1.2600461093517736,-0.6962021121853986,204.86882737204496,790.7031190246344,753.2069765329361,1483.6477446258068,0.1535066193254433,0.9026291313066602,0
1,top1short,CAP-B30-e0.9-M3600,5,876.0,876.0,-1.2297507451354173,-0.6916672657463094,202.5808695994328,790.7031190246344,443.2165033817291,1483.6435091942549,0.165250426793726,0.9026291313066602,0
1,top1short,REL-B120-e0.5,5,1383.8196176737547,360.0,-0.9687530762557016,-0.5856717461832546,182.86987880617448,1119.1003969162705,177.4764432758093,1546.302860930562,0.2756528759127367,0.8106354241004309,0
