guar = guaranteed worst-case per-job excess over FCFS on this trace (max_i bound_i - W_fcfs[i]);
guar@0 = the same bound for a job FCFS would not have delayed; harm = observed max excess over
FCFS among jobs with W_fcfs <= 1 s; gap = fraction of the FCFS->true-SJF gap closed on deadline-window p99;
qwF = share of queue-weighted dispatches forced to a guarded job; used = observed excess / allowed excess.
P1 marks the Pareto front on (guar, gap), P2 on (harm, gap).

=== rep0, predictor M4, level 0: k = 8, busy-hour rho = 0.5294, FCFS p99_dl = 22.2 s, true-SJF p99_dl = 8.3 s ===
policy                     guar   guar@0    gap gapMean   p99_dl   maxExc    harm maxHeavy   qwF%  used  P1 P2
SJF-ref                       -   1.000    34.19   2667.4    774.8   3072.3   0.00     -
FCFS                          -   0.000   109.71      0.0      0.0   1022.9 100.00     -

-- level 1 (k=5), predictor reversed: FCFS p99_dl 109.7 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  276.0  -1.175   198.41    206.3    182.1   1176.8  50.05 0.747
CAP-B30-e0.5-M600         276.0  -0.900   177.70    197.4    144.7   1176.8  56.01 0.715
SKIP-N10                  276.0  -0.618   156.35    179.8    161.5   1139.1  85.00 0.652
FIX-B1200                 396.0  -1.714   239.12    315.5    299.0   1282.8  40.94 0.797
CAP-B30-e0.9-M1200        396.0  -1.624   232.37    313.6    299.0   1282.8  41.36 0.792
CAP-B120-e0.75-M1200      396.0  -1.508   223.60    315.5    299.0   1282.8  41.90 0.797
SKIP-N20                  396.0  -0.877   175.93    259.8    188.6   1203.6  83.01 0.656
FIX-B3600                 876.0  -1.488   222.06    787.7    760.7   1670.3  18.11 0.899
CAP-B30-e0.9-M3600        876.0  -1.437   218.22    787.7    421.6   1670.3  19.68 0.899
REL-B120-e0.5            1383.8  -1.001   185.30   1123.4    164.5   1852.9  34.10 0.814
REL-B30-e0.75            3719.5  -1.188   199.44   2313.9    265.7   1885.1  12.69 0.806
SPJF                          -  -1.435   218.07   3387.9   3387.9   1989.8   0.00     -
SJF-ref                       -   1.000    34.19   2667.4    774.8   3072.3   0.00     -
FCFS                          -   0.000   109.71      0.0      0.0   1022.9 100.00     -

-- level 1 (k=5), predictor top1short: FCFS p99_dl 109.7 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  276.0  -1.126   194.71    192.2    182.1    983.1  47.36 0.696
CAP-B30-e0.5-M600         276.0  -0.891   176.99    189.0    122.6    983.1  52.06 0.685
SKIP-N10                  276.0  -0.466   144.89    156.4    122.6   1006.0  82.56 0.567
FIX-B1200                 396.0  -1.481   221.52    326.2    298.2    989.0  38.60 0.824
CAP-B30-e0.9-M1200        396.0  -1.434   217.98    326.2    298.5    989.0  38.89 0.824
CAP-B120-e0.75-M1200      396.0  -1.369   213.12    326.2    299.3    989.0  39.39 0.824
SKIP-N20                  396.0  -0.710   163.34    233.1    177.4    997.1  80.67 0.589
FIX-B3600                 876.0  -1.260   204.87    790.7    753.2   1483.6  15.35 0.903
CAP-B30-e0.9-M3600        876.0  -1.230   202.58    790.7    443.2   1483.6  16.53 0.903
REL-B120-e0.5            1383.8  -0.969   182.87   1119.1    177.5   1546.3  27.57 0.811
REL-B30-e0.75            3719.5  -1.076   190.97   2321.6    218.3   2992.6  11.30 0.804
SPJF                          -  -1.203   200.55   3301.8   2963.0   3093.9   0.00     -
SJF-ref                       -   1.000    34.19   2667.4    774.8   3072.3   0.00     -
FCFS                          -   0.000   109.71      0.0      0.0   1022.9 100.00     -

-- level 2 (k=4), predictor random: FCFS p99_dl 263.1 s --
policy                     guar     gap   p99_dl   maxExc     harm maxHeavy   qwF%  used
FIX-B600                  300.0  -0.109   287.05    230.5    221.9   1697.5  45.16 0.768
CAP-B30-e0.5-M600         300.0  -0.111   287.55    230.5    142.7   1695.3  46.81 0.768
SKIP-N10                  300.0  -0.002   263.60     86.8     76.0   1545.7  91.49 0.289
FIX-B1200                 450.0  -0.125   290.56    363.0    351.2   1846.3  32.29 0.807
CAP-B30-e0.9-M1200        450.0  -0.107   286.60    361.3    351.2   1846.3  32.35 0.803
CAP-B120-e0.75-M1200      450.0  -0.077   280.02    362.2    328.1   1846.3  32.45 0.805
SKIP-N20                  450.0  -0.005   264.20     98.3     98.3   1553.0  89.10 0.219
FIX-B3600                1050.0   0.273   202.93    971.2    935.0   2451.7  12.41 0.925
CAP-B30-e0.9-M3600       1050.0   0.242   209.86    971.2    434.3   2451.7  12.70 0.925
REL-B120-e0.5            1904.6   0.132   234.12   1676.7    175.6   3197.3  17.43 0.884
REL-B30-e0.75            5263.8   0.251   207.91   4248.5    261.5   5502.6   4.99 0.909
SPJF                          -   0.360   183.80   6235.5   6173.6   6199.6   0.00     -
SJF-ref                       -   1.000    42.88   4755.5   1101.5   5299.5   0.00     -
FCFS                          -   0.000   263.12      0.0      0.0   1542.8 100.00     -

