design,k,n,L,max_excess,max_allowed,used_over_allowed
thresh B=1 th=1 N=2,2,6,3.5,3.0,8.5,0.35294117647058826
thresh B=0 th=.5 N=3 eps=1,2,6,3.5,0.5,16.5,0.030303030303030304
cap B0=1 eps=1 Bmax=3,2,6,3.5,3.0,8.5,0.35294117647058826
cap B0=1 eps=.5 Bmax=1,2,6,3.5,3.0,7.5,0.4
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,6,3.5,3.0,10.0,0.3
skip N=2 (work channel off),2,6,3.5,3.0,11.0,0.2727272727272727
skip N=5 (work channel off),2,6,3.5,3.0,17.0,0.17647058823529413
fixed B=0,3,6,2.5,0.0,5.833333333333333,0.0
fixed B=1,3,6,2.5,0.0,6.166666666666667,0.0
fixed B=4,3,6,2.5,0.0,7.166666666666667,0.0
rel B0=0 eps=.5,3,6,2.5,0.0,7.0,0.0
rel B0=1 eps=1,3,6,2.5,0.0,9.25,0.0
rel B0=0 eps=2,3,6,2.5,0.0,17.5,0.0
qlen B0=0 gam=1,3,6,2.5,0.0,6.166666666666667,0.0
qlen B0=1 gam=.5 eps=.5,3,6,2.5,0.0,7.6,0.0
thresh B=1 th=1 N=2,3,6,2.5,0.0,6.833333333333333,0.0
thresh B=0 th=.5 N=3 eps=1,3,6,2.5,0.0,9.5,0.0
cap B0=1 eps=1 Bmax=3,3,6,2.5,0.0,6.833333333333333,0.0
cap B0=0 eps=2 Bmax=2,3,6,2.5,0.0,6.5,0.0
cap B0=1 eps=.5 Bmax=1,3,6,2.5,0.0,6.166666666666667,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,6,2.5,0.0,7.833333333333333,0.0
skip N=2 (work channel off),3,6,2.5,0.0,8.5,0.0
skip N=5 (work channel off),3,6,2.5,0.0,12.5,0.0
fixed B=0,1,2,1.5,0.0,1.5,0.0
fixed B=1,1,2,1.5,1.5,2.5,0.6
fixed B=4,1,2,1.5,1.5,5.5,0.2727272727272727
rel B0=0 eps=.5,1,2,1.5,0.0,3.5,0.0
qlen B0=0 gam=1,1,2,1.5,0.0,2.5,0.0
qlen B0=1 gam=.5 eps=.5,1,2,1.5,1.5,6.5,0.3
thresh B=1 th=1 N=2,1,2,1.5,1.5,4.5,0.3333333333333333
cap B0=1 eps=.5 Bmax=1,1,2,1.5,1.5,2.5,0.6
skip N=2 (work channel off),1,2,1.5,1.5,9.5,0.15789473684210525
skip N=5 (work channel off),1,2,1.5,1.5,21.5,0.06976744186046512
fixed B=0,1,9,4.0,0.0,4.0,0.0
fixed B=1,1,9,4.0,1.5,5.0,0.3
fixed B=4,1,9,4.0,5.5,8.0,0.6875
rel B0=0 eps=.5,1,9,4.0,5.5,11.5,0.55
qlen B0=0 gam=1,1,9,4.0,4.0,5.0,0.8
qlen B0=1 gam=.5 eps=.5,1,9,4.0,5.5,14.5,0.4583333333333333
thresh B=1 th=1 N=2,1,9,4.0,1.5,7.0,0.21428571428571427
cap B0=1 eps=.5 Bmax=1,1,9,4.0,1.5,5.0,0.3
skip N=2 (work channel off),1,9,4.0,5.5,12.0,0.4583333333333333
skip N=5 (work channel off),1,9,4.0,5.5,24.0,0.22916666666666666
fixed B=0,2,5,3.5,0.0,7.0,0.0
fixed B=1,2,5,3.5,0.0,7.5,0.0
fixed B=4,2,5,3.5,0.0,9.0,0.0
rel B0=0 eps=.5,2,5,3.5,0.0,9.5,0.0
rel B0=1 eps=1,2,5,3.5,0.0,15.5,0.0
qlen B0=0 gam=1,2,5,3.5,0.0,7.0,0.0
qlen B0=1 gam=.5 eps=.5,2,5,3.5,0.0,10.166666666666666,0.0
thresh B=1 th=1 N=2,2,5,3.5,0.0,8.5,0.0
thresh B=0 th=.5 N=3 eps=1,2,5,3.5,0.0,16.0,0.0
cap B0=1 eps=1 Bmax=3,2,5,3.5,0.0,8.5,0.0
cap B0=1 eps=.5 Bmax=1,2,5,3.5,0.0,7.5,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,2,5,3.5,0.0,10.0,0.0
skip N=2 (work channel off),2,5,3.5,0.0,11.0,0.0
skip N=5 (work channel off),2,5,3.5,0.0,17.0,0.0
fixed B=0,1,2,3.0,0.0,3.0,0.0
fixed B=1,1,2,3.0,0.0,4.0,0.0
fixed B=4,1,2,3.0,0.0,7.0,0.0
rel B0=0 eps=.5,1,2,3.0,0.0,6.0,0.0
qlen B0=0 gam=1,1,2,3.0,0.0,3.0,0.0
qlen B0=1 gam=.5 eps=.5,1,2,3.0,0.0,8.0,0.0
thresh B=1 th=1 N=2,1,2,3.0,0.0,6.0,0.0
cap B0=1 eps=.5 Bmax=1,1,2,3.0,0.0,4.0,0.0
skip N=2 (work channel off),1,2,3.0,0.0,11.0,0.0
skip N=5 (work channel off),1,2,3.0,0.0,23.0,0.0
fixed B=0,3,8,3.0,0.0,7.0,0.0
fixed B=1,3,8,3.0,0.0,7.333333333333333,0.0
fixed B=4,3,8,3.0,0.0,8.333333333333334,0.0
rel B0=0 eps=.5,3,8,3.0,0.0,8.4,0.0
rel B0=1 eps=1,3,8,3.0,0.0,11.0,0.0
rel B0=0 eps=2,3,8,3.0,0.0,21.0,0.0
qlen B0=0 gam=1,3,8,3.0,0.0,7.0,0.0
qlen B0=1 gam=.5 eps=.5,3,8,3.0,0.0,8.8,0.0
thresh B=1 th=1 N=2,3,8,3.0,0.0,8.0,0.0
thresh B=0 th=.5 N=3 eps=1,3,8,3.0,0.0,11.25,0.0
cap B0=1 eps=1 Bmax=3,3,8,3.0,0.0,8.0,0.0
cap B0=0 eps=2 Bmax=2,3,8,3.0,0.0,7.666666666666667,0.0
cap B0=1 eps=.5 Bmax=1,3,8,3.0,0.0,7.333333333333333,0.0
cap+cnt B=1 e=1 th=1 N=2 Bm=4,3,8,3.0,0.0,9.0,0.0
skip N=2 (work channel off),3,8,3.0,0.0,9.666666666666666,0.0
skip N=5 (work channel off),3,8,3.0,0.0,13.666666666666666,0.0
fixed B=0,1,3,3.5,0.0,3.5,0.0
