level,policy,k,guar_excess_max,guar_excess_at0,gap_p99dl,gap_mean,w_p99_dl,max_excess,max_excess_wf0,max_heavy,qw_forced_frac,used_over_allowed,bound_viol,P1,P2
2,CAP-B30-e0.9-M1200,4,450.0,450.0,0.7017270350868176,0.6461283026587672,108.57227214574914,368.30418369174,239.3588283509016,1842.9357250966127,0.1614795636123213,0.8184537415372001,0,0,0
2,FIX-B1200,4,450.0,450.0,0.7083048336717646,0.6527841823262913,107.12358147501976,370.7176921665669,312.5867110043764,1842.9231648743155,0.156754110632854,0.8238170937034819,0,1,0
2,FIX-B1800,4,600.0,600.0,0.78843991228613,0.7227784692751498,89.47467671036728,514.0019684880972,457.6905634850264,1992.877705782652,0.097827730868985,0.856669947480162,0,1,0
2,REL-B30-e0.25,4,724.8675688703856,210.0,0.3748790694960291,0.5120616081662145,180.55708475187475,549.9739897698164,85.53765822947025,2065.286432057619,0.25384984846965,0.8010498133500427,0,0,1
2,REL-B120-e0.25,4,754.8675688703856,240.0,0.4634670289612176,0.5808731091879249,161.04652225002764,579.9908491261303,91.24130183458328,2095.6658301986754,0.190552664652268,0.8090451927851231,0,0,1
2,SKIP-N50,4,900.0,900.0,-0.0037802727077501,0.0812742356064928,263.9528058812035,104.99440869688988,63.86956705152989,1545.5022744983437,0.8307570997566356,0.1166604541076554,0,0,0
2,REL-B600-e0.25,4,914.8675688703856,400.0,0.7497607185794782,0.7201238763709878,97.99336063638351,743.7267953008413,240.49235965311527,2264.1954243406653,0.0873228979992328,0.8529451102063401,0,0,0
2,CAP-B120-e0.5-M3600,4,1050.0,360.0,0.7273815716181147,0.767296984260512,102.92213141024116,952.7949498705566,163.26347860693932,2456.544116199017,0.0430644583622217,0.9074237617814824,0,0,0
2,CAP-B30-e0.75-M3600,4,1050.0,630.0,0.8090554169532717,0.7985243869103613,84.93432952612672,958.5262000188231,171.73570320010185,2441.3915397897363,0.0251705902036826,0.912882095256022,0,0,0
2,CAP-B120-e0.75-M3600,4,1050.0,720.0,0.8291081836567495,0.8079455831401513,80.51791943535238,980.9267842918634,216.80893360078332,2441.430531091988,0.0191189328054561,0.93421598503987,0,0,0
2,CAP-B600-e0.5-M3600,4,1050.0,600.0,0.8338908170134538,0.8204514653738697,79.46459494754696,977.4814461767672,315.5260673351586,2463.566822737456,0.022332305384172,0.9309347106445404,0,0,0
2,CAP-B30-e0.9-M3600,4,1050.0,1050.0,0.8378887765215253,0.8227518727304396,78.5840865880251,958.1405678242444,237.8547048419714,2449.9101646244526,0.0177141249993916,0.9125148264992804,0,0,0
2,FIX-B3600,4,1050.0,1050.0,0.8428032339345708,0.8183031289882092,77.50172924399384,958.1310931742192,483.20138841867447,2457.9074460566044,0.0191291216077088,0.9125058030230658,0,1,0
2,REL-B1800-e0.25,4,1314.8675688703856,800.0,0.8404724795786591,0.8295480944930534,78.0150532759729,1144.9531950168312,483.20138841867447,2659.289763417095,0.0143299213003004,0.8848741774724735,0,0,0
2,REL-B30-e0.5,4,1859.6027066111565,315.0,0.6927926087380023,0.7598472904081852,110.539985193313,1606.015590365976,91.37659166753292,3103.397957660258,0.066080768549616,0.8650524575368578,0,0,1
2,REL-B120-e0.5,4,1904.6027066111565,360.0,0.7353831481406778,0.7951532116002247,101.15986868515684,1654.757131440565,163.26347860693932,3166.410485673696,0.0323949709632301,0.870102447554505,0,0,1
2,FIX-B7200,4,1950.0,1950.0,0.866533463911336,0.8764383649817893,72.27539670467378,1856.0806586556137,483.20138841867447,3296.159549847245,0.0025720388160347,0.951836235208007,0,1,0
2,REL-B600-e0.5,4,2144.6027066111565,600.0,0.8418111261414811,0.859410878659005,77.7202305078507,1875.088665537536,315.5260673351586,3406.2694542631507,0.0087506809394207,0.8789512669609705,0,0,0
2,REL-B1800-e0.5,4,2744.6027066111565,1200.0,0.8650024921942809,0.8922631934589024,72.61257705688519,2469.8588294070214,483.20138841867447,3940.4935932047674,0.0018159785210022,0.9066224043060112,0,0,0
2,REL-B30-e0.75,4,5263.808119833469,630.0,0.8436315698765325,0.8888208059269476,77.31929700076645,4029.717437084764,171.73570320010185,5339.789168179035,0.0137808061349433,0.8846570059558007,0,0,1
2,REL-B120-e0.75,4,5353.808119833469,720.0,0.8632198646025271,0.898979653150704,73.00518195778143,4125.546546315774,216.80893360078332,5435.8855998292565,0.0055279121537195,0.8872398465122409,0,0,1
2,REL-B600-e0.75,4,5833.808119833469,1200.0,0.8823877794573546,0.9135742855830292,68.78365114182269,4288.325752353296,483.20138841867447,5598.622142065316,0.0008792169092535,0.8880527948746967,0,1,0
2,REL-B1800-e0.75,4,7033.808119833469,2400.0,0.8870072245743432,0.920038978316158,67.76626714039669,4888.890749402344,483.20138841867447,5927.926072025672,0.0001779116091484,0.8905023783744388,0,1,0
2,REL-B30-e0.9,4,15476.424359500412,1575.0000000000005,0.8810090307256906,0.9174051552676132,69.08730598911652,4888.891044855118,237.8547048419714,5927.926418200135,0.0023765907155065,0.7085198991873236,0,0,1
2,REL-B120-e0.9,4,15701.424359500412,1800.0000000000005,0.885893675672798,0.9190747013127788,68.01151452586105,4883.2262293845415,381.86067055538297,5925.285662636161,0.0009630860450859,0.7580984365558635,0,0,1
2,REL-B600-e0.9,4,16901.42435950041,3000.0000000000005,0.8902587105587711,0.9224834932272864,67.0501616910101,4888.980618286878,483.20138841867447,5927.812757456675,8.084473417956817e-05,0.7891413058641974,0,1,0
2,REL-B1800-e0.9,4,19901.42435950041,6000.000000000001,0.8924363465582938,0.9235739654062805,66.57056035995498,5882.918769383803,483.20138841867447,6264.1391437985,0.0,0.7609072328926991,0,1,1
2,FCFS,4,inf,inf,0.0,0.0,263.1202407404795,0.0,0.0,1542.7545313090086,1.0,,-1,0,0
2,SPJF,4,inf,inf,0.8924363465582938,0.9235739654062805,66.57056035995498,5882.918769383803,483.20138841867447,6264.1391437985,0.0,,-1,0,0
2,SJF-ref,4,inf,inf,1.0,1.0,42.88080166056759,4755.4670400470495,1101.479383572936,5299.532429710031,0.0,,-1,0,0
